date,opening_price,highest_price,lowest_price,closing_price
2011-01-06,6.369,6.452000000000001,6.336,6.4
2011-01-07,6.392,7.041,6.369,6.852
2011-01-10,6.7570000000000014,6.877999999999999,6.599,6.617000000000001
2011-01-11,6.5710000000000015,6.834,6.5710000000000015,6.775
2011-01-12,6.772,7.015,6.7,6.994
2011-01-13,7.002000000000002,7.025,6.8729999999999976,6.925
2011-01-14,6.877999999999999,6.877999999999999,6.733,6.7410000000000005
2011-01-17,6.705,6.739,6.41,6.483
2011-01-18,6.54,6.659,6.501,6.602
2011-01-19,6.604,6.744,6.506,6.739
2011-01-20,6.692,6.71,6.519,6.527
2011-01-21,6.529,7.08,6.527,6.7929999999999975
2011-01-24,6.78,6.962999999999999,6.744,6.806
2011-01-25,6.803,6.945,6.744,6.912000000000001
2011-01-26,6.904,6.95,6.834,6.904
2011-01-27,6.785,6.9220000000000015,6.684,6.865
2011-01-28,6.8370000000000015,6.894,6.692,6.739
2011-01-31,6.718,6.801,6.617000000000001,6.718
2011-02-01,6.721,6.819,6.669,6.79
2011-02-09,6.723,6.795,6.584,6.589
2011-02-10,6.607,6.7570000000000014,6.577999999999999,6.752000000000002
2011-02-11,6.712999999999999,6.814,6.648,6.785
2011-02-14,6.797999999999999,7.072,6.797999999999999,7.023
2011-02-15,7.0429999999999975,7.1110000000000015,6.961,7.002000000000002
2011-02-16,6.968999999999999,6.997000000000001,6.881,6.971
2011-02-17,6.997000000000001,7.1370000000000005,6.9270000000000005,7.01
2011-02-18,7.002000000000002,7.023,6.899,6.94
2011-02-21,6.896,6.945,6.8370000000000015,6.919
2011-02-22,6.899,6.899,6.62,6.625
2011-02-23,6.615,6.664,6.573,6.625
2011-02-24,6.589,6.664,6.553,6.648
2011-02-25,6.646,6.803,6.615,6.705
2011-02-28,6.697,6.7929999999999975,6.617000000000001,6.744
2011-03-01,6.749,6.938,6.749,6.839
2011-03-02,6.7929999999999975,6.997000000000001,6.77,6.943
2011-03-03,6.976,7.2010000000000005,6.943,7.0120000000000005
2011-03-04,7.005,7.106,6.956,7.064
2011-03-07,7.108,7.279,7.108,7.165
2011-03-08,7.157,7.286,7.1370000000000005,7.1960000000000015
2011-03-09,7.235,7.286,7.134,7.178
2011-03-10,7.131,7.131,6.945,6.997000000000001
2011-03-11,6.945,7.037999999999999,6.932,6.945
2011-03-14,6.945,7.0360000000000005,6.919,6.997000000000001
2011-03-15,6.95,6.994,6.824,6.948
2011-03-16,6.95,7.0429999999999975,6.94,7.023
2011-03-17,6.948,6.984,6.881,6.909
2011-03-18,6.976,7.018,6.899,6.912000000000001
2011-03-21,6.935,6.962999999999999,6.839,6.932
2011-03-22,6.952999999999999,7.152,6.896,7.0870000000000015
2011-03-23,7.056,7.224,7.046,7.175
2011-03-24,7.183,7.232,7.1370000000000005,7.149
2011-03-25,7.178,7.436,7.172999999999999,7.374
2011-03-28,7.49,7.5710000000000015,7.359,7.397
2011-03-29,7.542000000000002,7.749,7.417999999999997,7.5939999999999985
2011-03-30,7.5470000000000015,7.702000000000001,7.501,7.576
2011-03-31,7.591,7.609,7.366,7.417999999999997
2011-04-01,7.421,7.8439999999999985,7.417999999999997,7.829
2011-04-06,7.881,8.134,7.875,8.0
2011-04-07,8.0,8.093,7.901,8.023
2011-04-08,8.005,8.049,7.896,8.002
2011-04-11,8.005,8.095,7.855,7.86
2011-04-12,7.838999999999999,7.945,7.7879999999999985,7.875
2011-04-13,7.832000000000002,8.074,7.739,8.059
2011-04-14,8.01,8.085,7.935,7.966
2011-04-15,7.945,8.082,7.917000000000002,8.051
2011-04-18,7.979,8.072000000000001,7.9220000000000015,8.007
2011-04-19,7.979,8.072000000000001,7.9220000000000015,8.007
2011-04-20,7.855,7.919,7.684,7.744
2011-04-21,7.777,7.8210000000000015,7.669,7.718
2011-04-22,7.687,7.744,7.563,7.607
2011-04-25,7.599,7.762,7.591,7.673999999999999
2011-04-26,7.648,7.785,7.646,7.746
2011-04-27,7.772,7.811,7.522,7.596
2011-04-28,7.687,8.01,7.687,7.806
2011-04-29,7.591,7.648,7.392,7.545
2011-05-03,7.4929999999999986,7.54,7.439,7.522
2011-05-04,7.454,7.519,7.263,7.3279999999999985
2011-05-05,7.261,7.379,7.209,7.266
2011-05-06,7.1110000000000015,7.385,7.1110000000000015,7.154
2011-05-09,7.107,7.192,6.974,7.05
2011-05-10,7.05,7.1770000000000005,6.96,7.149
2011-05-11,7.121,7.172999999999999,7.077999999999999,7.0920000000000005
2011-05-12,7.055,7.0829999999999975,6.95,6.968999999999999
2011-05-13,6.992999999999999,7.021,6.818,6.988
2011-05-16,6.9270000000000005,7.021,6.846,6.851
2011-05-17,6.8610000000000015,6.988,6.803999999999999,6.908
2011-05-18,6.884,7.021,6.865,7.002999999999999
2011-05-19,7.0310000000000015,7.13,6.988,7.021
2011-05-20,7.0120000000000005,7.144,7.002999999999999,7.0829999999999975
2011-05-23,7.073,7.073,6.79,6.851
2011-05-24,6.818,6.88,6.79,6.799
2011-05-25,6.79,6.799,6.577000000000001,6.591
2011-05-26,6.657,6.662000000000001,6.549,6.553
2011-05-27,6.558,6.653,6.53,6.61
2011-05-30,6.572,6.686,6.544,6.605
2011-05-31,6.62,6.714,6.605,6.709
2011-06-01,6.681,6.695,6.62,6.638
2011-06-02,6.53,6.572,6.265,6.364
2011-06-03,6.364,6.388,6.274,6.382999999999999
2011-06-07,6.3260000000000005,6.407,6.307,6.388
