date,opening_price,highest_price,lowest_price,closing_price
2014-01-02,38279.32721772036,38279.32721772036,36917.419769059416,37355.17573470042
2014-01-03,37403.45142901613,37452.09050759743,36430.66985739023,37062.977878947066
2014-01-06,36868.06291889999,37111.25594606952,36478.95407542875,36624.86989173047
2014-01-07,36528.30335515628,36674.22201036995,35993.26828603947,36576.94290689417
2014-01-08,36333.03825912704,36770.785708032185,36041.206626523606,36624.86989173047
2014-01-09,36528.30335515628,37501.0943899141,36431.0242516805,37111.977976010974
2014-01-10,37014.698872535184,37257.89663122465,36090.547389515246,36431.0242516805
2014-01-13,36430.31546999484,36673.50849716437,36284.39965369313,36478.95407542875
2014-01-14,36041.55722873986,36625.2261717154,36041.55722873986,36138.83538590245
2014-01-15,36138.83538590245,36527.948014552814,35749.72275725209,36527.948014552814
2014-01-16,36527.948014552814,36868.42156462189,36479.30893597152,36673.8652502967
2014-01-17,36527.948014552814,37014.33880036577,36382.03077880893,36527.948014552814
2014-01-20,35652.09778305236,36478.95407542875,35652.09778305236,36089.84523195752
2014-01-21,36089.84523195752,36089.84523195752,35749.37499392017,35943.929415655795
2014-01-22,36041.55722873986,36041.55722873986,35214.692892857835,35457.88828576432
2014-01-23,35506.52736434562,35603.805521508206,35214.692892857835,35457.88828576432
2014-01-24,35506.87276866056,35944.62873430159,35263.675009971106,35895.98918256369
2014-01-27,35506.52736434562,35506.52736434562,34631.0239498823,35311.97105002043
2014-01-28,34874.219342788776,35409.24920718302,34874.219342788776,35020.13657853266
2014-01-29,35117.07312327941,35943.929415655795,35019.7959124116,35117.07312327941
2014-02-03,34679.32567437427,35214.350334147224,34241.57822546912,34338.85543633693
2014-02-04,33949.74659286569,34290.216830903024,32976.97448418759,32976.97448418759
2014-02-05,33220.16751135712,33803.83077656398,33122.890300489315,33366.08332765883
2014-02-06,33171.85159244344,34193.27224265064,33171.85159244344,34095.994085488055
2014-02-07,34144.633164069346,34728.30210704489,33950.07684974416,34631.0239498823
2014-02-10,34727.62645914397,34776.264591439685,34289.88326848249,34289.88326848249
2014-02-11,34144.633164069346,34485.10671413841,33463.686063931214,34241.911321231935
2014-02-12,35506.52736434562,35701.083678670795,34776.94118562618,34922.85842137007
2014-02-13,34923.198147805866,35458.23321692267,34534.08173390274,34534.08173390274
2014-02-14,34582.72128564063,34971.837699543765,34144.96531999962,34144.96531999962
2014-02-17,34241.245136186764,34533.07392996109,33803.50194552529,34289.88326848249
2014-02-18,34387.82855697582,34922.85842137007,34339.189478394524,34485.10671413841
2014-02-19,34290.883975213284,34339.523526951176,33561.29069914491,33853.12800957226
2014-02-20,33511.999143960544,33901.10798743179,32976.97448418759,32976.97448418759
2014-02-21,33220.81383697968,33999.046664785936,33172.17428524179,33999.046664785936
2014-02-24,33950.407113048044,34047.686216523834,33755.84890609648,33999.046664785936
2014-02-25,33901.76756131015,34631.360837378525,33901.76756131015,34388.16307868907
2014-02-26,34241.911321231935,34922.85842137007,34144.633164069346,34776.94118562618
2014-02-27,34485.10671413841,34776.94118562618,33950.07684974416,34776.94118562618
2014-02-28,34728.30210704489,35749.72275725209,34387.82855697582,35020.13657853266
2014-03-03,34874.558596067975,35020.47725128165,34193.6048717375,34825.91904433008
2014-03-04,34436.132647204744,34727.96427980817,34144.30101460131,34192.93962003521
2014-03-05,34339.189478394524,34582.384871301,33998.715928325466,34241.911321231935
2014-03-06,34095.6624091674,34290.216830903024,33560.637749394446,33657.914960262264
2014-03-07,33901.76756131015,34047.686216523834,33658.569802620696,33999.046664785936
2014-03-10,34095.6624091674,34144.30101460131,33366.08332765883,33511.999143960544
2014-03-11,33560.637749394446,33803.83077656398,33414.72193309273,33657.914960262264
2014-03-12,33561.29069914491,33658.569802620696,32880.33697481444,32928.97652655233
2014-03-13,33220.81383697968,33318.09294045546,32102.104147008184,32102.104147008184
2014-03-14,31761.31831358587,32199.07002081753,31274.92752777292,31809.95739216716
2014-03-17,31858.596470748464,32296.34817798012,31761.31831358587,31809.95739216716
2014-03-18,32101.791863654937,32393.626335142715,31761.31831358587,31809.95739216716
2014-03-19,32003.891050583657,32052.52918287937,31322.95719844358,31322.95719844358
2014-03-20,31225.98468856701,31225.98468856701,29864.10373641767,29864.10373641767
2014-03-21,29961.963870540967,30399.719836181983,29426.928801424165,29426.928801424165
2014-03-24,29669.83793459017,30156.228720403124,29621.198856008883,29767.116091752763
2014-03-25,29767.4056635894,30983.394457036684,29670.126560113626,30642.917594871444
2014-03-26,31031.430266831387,31712.370742906063,30836.875845095765,31615.09353203825
2014-03-27,31566.454926604347,31566.454926604347,30496.40560705844,30545.04421249234
2014-03-28,30593.682817926245,31225.98468856701,30447.767001624525,30836.875845095765
2014-03-31,30739.598634227965,31274.62329400092,30642.32142336015,31225.98468856701
2014-04-01,31274.62329400092,31371.900504868725,30836.875845095765,31371.900504868725
2014-04-02,31468.871595330736,31468.871595330736,30787.937743190665,30787.937743190665
2014-04-03,30885.51445052968,31371.900504868725,30545.04421249234,30545.04421249234
2014-04-04,30593.980427634782,30739.897663378662,29913.03332749665,29913.03332749665
2014-04-07,29718.76611185152,30788.83625008512,29670.126560113626,30642.917594871444
2014-04-08,30642.917594871444,30886.115353560897,30351.080284444102,30642.917594871444
2014-04-09,30837.175820541263,31323.56660635421,30739.897663378662,31274.92752777292
2014-04-10,31517.81632117044,31712.370742906063,31177.34608313311,31225.98468856701
2014-04-11,30982.490272373536,31517.509727626457,30933.85214007782,31468.871595330736
2014-04-14,31372.205684935507,31469.4838420981,30691.258584797368,30739.897663378662
2014-04-15,30934.754905298792,31275.23176746404,30496.99893965777,30496.99893965777
2014-04-16,30545.341349053488,30739.897663378662,30448.06319189089,30448.06319189089
2014-04-17,30642.61950621608,30739.897663378662,30204.86779898442,30204.86779898442
