date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1290.5,1300.0,1271.5,1275.0
2014-01-07,1280.0,1290.5,1260.0,1276.5
2014-01-08,1266.0,1280.785,1257.5,1262.5
2014-01-09,1260.5,1263.0,1221.0,1226.5
2014-01-10,1229.5,1267.0,1226.0,1249.5
2014-01-13,1256.5,1281.0,1250.0,1273.0
2014-01-14,1260.0,1271.5,1250.0,1262.5
2014-01-15,1279.0,1333.1660000000002,1274.5,1332.5
2014-01-16,1332.5,1400.0,1323.5,1397.5
2014-01-17,1398.0,1436.5,1388.0,1391.0
2014-01-20,1380.0,1414.0,1369.0,1393.0
2014-01-21,1392.0,1392.0,1344.5,1356.0
2014-01-22,1365.5,1388.0,1357.0,1366.5
2014-01-23,1348.5,1407.5,1347.0,1380.5
2014-01-24,1381.0,1389.5,1333.0,1340.0
2014-01-27,1333.5,1353.5,1317.0,1319.5
2014-01-28,1326.0,1364.0,1321.6,1343.5
2014-01-29,1400.0,1457.0,1362.5,1420.5
2014-02-03,1440.0,1453.5,1395.5,1397.0
2014-02-04,1390.5,1457.0,1390.5,1436.5
2014-02-05,1435.0,1463.5,1417.0,1452.0
2014-02-06,1465.0,1468.7996,1433.0,1459.5
2014-02-07,1464.0,1482.5,1451.0,1480.0
2014-02-10,1487.5,1506.5,1477.76,1501.0
2014-02-11,1506.5,1531.5,1501.5,1526.0
2014-02-12,1539.5,1565.0,1535.0,1541.0
2014-02-13,1546.5,1559.5,1499.0,1533.5
2014-02-14,1545.5,1564.0,1509.5,1519.5
2014-02-17,1531.0,1554.5,1518.5,1552.0
2014-02-18,1553.0,1593.0,1524.0,1587.0
2014-02-19,1587.0,1589.5,1563.0,1589.0
2014-02-20,1550.0,1560.0,1526.0,1554.0
2014-02-21,1560.0,1570.0,1530.5,1560.5
2014-02-24,1553.0,1553.0,1523.5,1533.5
2014-02-25,1533.5,1533.5,1480.0,1500.5
2014-02-26,1495.5,1513.0066,1484.0,1494.0
2014-02-27,1495.0,1515.0,1475.0,1511.5
2014-02-28,1508.5,1531.0,1498.0,1531.0
2014-03-03,1490.5,1509.5,1478.35,1478.5
2014-03-04,1492.0,1515.0,1479.0,1502.5
2014-03-05,1500.0,1526.0,1492.0,1520.0
2014-03-06,1531.5,1574.5,1530.0,1565.0
2014-03-07,1557.5,1558.5,1455.5,1462.5
2014-03-10,1450.0,1452.0,1415.0,1433.0
2014-03-11,1437.5,1466.5,1426.0,1435.5
2014-03-12,1422.5,1430.5,1409.0,1419.5
2014-03-13,1432.0,1442.0,1410.5,1411.5
2014-03-14,1391.0,1434.0,1387.0,1423.0
2014-03-17,1428.0,1479.0,1427.0,1461.5
2014-03-18,1459.0,1483.0,1438.5,1467.5
2014-03-19,1439.5,1449.5,1388.5,1388.5
