date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,3579.0,3607.85,3579.0,3598.5
2014-01-07,3584.0,3591.0,3557.0,3562.5
2014-01-08,3558.0,3571.5,3539.5,3549.5
2014-01-09,3575.0,3613.75,3564.0,3572.5
2014-01-10,3598.5,3676.0,3580.5,3652.0
2014-01-13,3671.0,3675.5,3367.07,3663.5
2014-01-14,3714.0,3779.5,3696.0,3755.5
2014-01-15,3764.5,3845.0,3746.6403,3845.0
2014-01-16,3851.0,3886.5,3828.0,3874.0
2014-01-17,3895.5,3912.0,3854.0,3875.0
2014-01-20,3886.5,3939.5,3872.5,3920.0
2014-01-21,3931.0,3980.98,3924.5,3947.0
2014-01-22,3947.0,3963.5,3911.0,3934.0
2014-01-23,3931.0,3964.5,3930.0,3960.0
2014-01-24,3976.48372,3976.48372,3874.5,3891.0
2014-01-27,3879.17647,3917.5,3846.5,3855.5
2014-01-28,3844.0,3876.90405,3823.0,3865.0
2014-01-29,3888.5,3897.0,3821.5,3846.5
2014-02-03,3870.5,3904.5,3858.5,3872.0
2014-02-04,3865.5,3875.0,3832.5,3851.0
2014-02-05,3861.0,3898.5,3832.0,3877.0
2014-02-06,3850.5,3865.5,3663.7039,3815.5
2014-02-07,3845.0,3865.0,3824.5,3860.0
2014-02-10,3882.5,3915.0,3873.5,3915.0
2014-02-11,3940.0,3975.0,3920.4,3974.5
2014-02-12,3989.5,4008.5,3956.5,4002.5
2014-02-13,3997.5,4060.0268,3990.0,4055.5
2014-02-14,4055.0,4076.0,4038.0,4055.0
2014-02-17,4046.0,4090.0,3955.82104,4073.0
2014-02-18,4077.5,4095.0,3954.1,4092.5
2014-02-19,4000.0,4098.9,3946.5,3987.0
2014-02-20,3952.5,4088.0,3939.5,3996.0
2014-02-21,4010.0,4138.33,4002.0,4027.5
2014-02-24,4016.0,4100.41,4000.5,4100.0
2014-02-25,4093.0,4111.5,4060.0,4095.0
2014-02-26,4083.5,4107.0,4065.0,4075.0
2014-02-27,4082.0,4113.45,4057.0,4103.0
2014-02-28,4094.0,4115.025,4046.15,4084.0
2014-03-03,3973.5,4005.0,3959.0,3994.0
2014-03-04,4029.5,4081.0,4020.5,4080.5
2014-03-05,4073.0,4087.0,4038.0,4039.5
2014-03-06,4059.5,4068.0,4011.0,4011.0
2014-03-07,4013.0,4025.0,3972.5,3985.0
2014-03-10,3979.5,4015.0,3977.5,3989.5
2014-03-11,4007.5,4023.5,3979.5,4016.0
2014-03-12,4021.0,4021.0,3967.5,4002.0
2014-03-13,4002.5,4012.0,3969.5,3979.0
2014-03-14,3913.5,4033.35,3877.07384,3913.0
2014-03-17,3924.0,4066.02,3920.0,3970.5
2014-03-18,3964.5,4078.7,3945.5,3978.5
2014-03-19,3989.5,4005.5,3975.0,3977.5
2014-03-20,3966.5,3972.45,3916.0,3942.0
2014-03-21,3940.5,3957.5,3915.5,3929.0
2014-03-24,3921.0,3922.5,3858.5,3866.0
2014-03-25,3855.0,3920.0,3854.5,3892.0
2014-03-26,3896.5,3944.5,3893.0,3910.0
2014-03-27,3898.0,3927.5,3884.5,3910.0
2014-03-28,3921.0,3959.0,3918.8994,3937.5
2014-03-31,3939.0,3973.5,3873.0,3876.5
2014-04-01,3905.5,3939.0,3884.5,3924.5
2014-04-02,3919.5,3973.0,3919.5,3950.0
2014-04-03,3950.0,3955.5,3909.0,3917.5
2014-04-04,3929.0,3937.5,3893.0,3923.0
2014-04-07,3902.0,3906.0,3850.0,3867.5
2014-04-08,3849.56813,3868.0,3798.0,3810.5
2014-04-09,3817.0,3825.5,3794.0,3811.5
2014-04-10,3832.5,3874.0956,3815.0,3837.0
2014-04-11,3803.0,3803.0,3740.0,3780.5
2014-04-14,3752.0,3766.0,3723.65,3736.0
2014-04-15,3735.0,3755.6082,3718.5,3723.0
2014-04-16,3738.5,3834.73185,3735.0,3758.5
2014-04-17,3775.0,3795.0,3757.0,3781.5
2014-04-22,4147.072929999999,4147.072929999999,3957.0,3960.0
2014-04-23,3972.1094,4060.0,3972.1094,4042.5
2014-04-24,4010.0,4296.5,4008.5,4175.0
2014-04-25,4141.37475,4141.674660000001,4041.0,4080.0
2014-04-28,4701.0,4796.5,4560.0,4666.5
2014-04-29,4563.03982,4682.5,4563.03982,4632.5
2014-04-30,4612.0,4700.0,4602.5708,4664.0
2014-05-02,4800.42639,4946.4127,4716.5,4808.0
