date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,271.55,278.6671,271.2,277.5
2014-01-07,276.95,282.7777,275.0,280.95
2014-01-08,282.35,285.9,281.25,283.7
2014-01-09,283.9,289.7109,282.4775,284.4
2014-01-10,286.0,287.1372,282.1987,283.6
2014-01-13,286.5,294.25,286.5,291.7
2014-01-14,287.06514500000003,293.1544,286.15,291.75
2014-01-15,293.3,298.0314,292.35,296.5
2014-01-16,297.4,298.1316,287.4,290.45
2014-01-17,291.4,293.0,286.5,288.6
2014-01-20,284.5,286.3829,282.2,282.8
2014-01-21,283.0,285.6189,279.932,280.6
2014-01-22,281.6,283.8,277.494,278.2
2014-01-23,278.0,284.5494,277.211,278.9
2014-01-24,279.3,280.8863,270.8385,272.25
2014-01-27,272.0,275.7266,268.0439,269.35
2014-01-28,271.95,274.6449,270.075,273.3
2014-01-29,281.95,284.8,268.8,274.95
2014-02-03,270.85,272.9649,265.05,265.7
2014-02-04,264.35,268.1,263.0,264.55
2014-02-05,263.35,268.092,261.05,264.95
2014-02-06,266.9,271.15,265.05,269.95
2014-02-07,271.45,273.45,269.5,271.7
2014-02-10,272.8,277.37,271.4,275.0
2014-02-11,278.0,278.0,255.5,264.7
2014-02-12,264.7,271.515693,259.75,260.45
2014-02-13,260.3,260.8745,251.1,256.4
2014-02-14,257.55,258.7183,252.8,253.0
2014-02-17,253.0,257.406975,253.0,256.05
2014-02-18,257.65,262.5464,252.95,261.3
2014-02-19,259.7,261.95,254.75,255.8
2014-02-20,253.65,256.2808,252.5,255.25
2014-02-21,256.6,258.8,256.0,258.0
2014-02-24,257.3,260.3534,256.2,259.0
2014-02-25,259.35,259.9,254.0,257.9
2014-02-26,258.45,260.47722000000005,251.8,253.15
2014-02-27,252.2,254.6,249.6,253.9
2014-02-28,254.4,255.0,251.25,252.1
2014-03-03,249.35,250.3445,245.05,247.85
2014-03-04,250.25,254.25,249.05,252.95
2014-03-05,253.7,254.0,250.4,252.25
2014-03-06,253.9,256.2894,252.6,253.3
2014-03-07,254.05,254.495,247.3,248.35
2014-03-10,245.5,248.355,240.7,242.0
2014-03-11,242.35,243.15,233.65,236.15
2014-03-12,235.0,237.1,230.35,233.75
2014-03-13,235.5,240.35,234.95,235.65
2014-03-14,235.6,238.65,228.2885,231.15
2014-03-17,232.1,233.667,229.95,231.05
2014-03-18,231.8,238.0,230.2,236.05
2014-03-19,238.5,243.3,232.1662,241.5
2014-03-20,239.9,242.05,236.1,238.65
2014-03-21,238.15,239.25,234.5,235.9
2014-03-24,237.6,237.8,233.1,234.05
2014-03-25,234.65,238.35,234.3,236.95
2014-03-26,237.25,237.6,232.85,233.3
2014-03-27,230.148577,232.7,229.8,230.95
2014-03-28,232.65,233.95,227.65,231.1
2014-03-31,231.9,233.75,231.1,233.4
2014-04-01,236.35,237.9515,233.4,237.45
2014-04-02,238.5,243.9654,238.118,242.75
2014-04-03,244.0,246.45,240.77,244.1
2014-04-04,241.761636,249.0,241.761636,248.15
2014-04-07,246.45,248.05,241.15,241.85
2014-04-08,241.05,242.25,234.35,238.6
2014-04-09,239.05,241.25,237.55,238.5
2014-04-10,240.860725,242.0674,237.85,239.75
2014-04-11,238.0,239.6785,232.976,236.05
2014-04-14,234.9,237.32,230.95,237.3
2014-04-15,235.96929,239.1169,232.15,233.15
2014-04-16,234.15,238.2092,234.0,237.55
2014-04-17,238.9,250.15,234.65,246.5
2014-04-22,247.0,249.4,244.9,247.25
2014-04-23,249.0,249.7,246.05,248.9
2014-04-24,249.95,253.55,249.45,252.0
2014-04-25,250.85,252.85,247.75,248.85
2014-04-28,249.0,250.7,248.05,249.0
2014-04-29,248.8,251.7,244.8,250.25
2014-04-30,249.8,253.104,248.11,252.2
2014-05-02,256.0,258.6027,253.98,258.5
2014-05-07,245.543646,245.543646,239.1,243.3
2014-05-08,252.0,264.5655,249.35,262.45
2014-05-09,265.0,267.55,258.7,260.15
2014-05-12,259.0,259.7,254.75,256.65
2014-05-13,257.5,259.0,252.482,255.35
2014-05-14,254.1,254.9,249.95,251.3
2014-05-15,251.95,254.05,244.3385,244.8
2014-05-16,245.8,246.4076,239.3,241.55
2014-05-19,240.0,241.47,235.75,238.95
2014-05-20,239.6,239.9629,236.7,238.55
2014-05-21,239.75,243.8713,236.9,241.7
2014-05-22,243.5,244.673,241.65,243.5
2014-05-23,243.6,247.544,242.445,246.6
2014-05-27,247.75,249.4276,245.25,245.5
2014-05-28,246.0,246.95,242.3,245.35
2014-05-29,245.95,246.2764,244.3203,246.05
2014-05-30,246.5,247.09,243.968,247.0
2014-06-02,248.4,249.45,245.55,246.1
2014-06-03,245.45,246.4,242.05,244.1
2014-06-05,242.4,245.5248,237.8,240.25
2014-06-09,243.05,245.9256,241.8186,244.75
2014-06-10,243.8,245.3745,242.3,243.2
2014-06-11,242.0,243.358,239.859,240.6
2014-06-12,240.95,241.45,239.05,239.85
2014-06-13,240.35,240.75,236.6,238.7
2014-06-16,238.15,240.4,234.0,236.5
2014-06-17,238.0,238.0,235.6,236.5
2014-06-18,237.4,238.35,235.499765,235.5
2014-06-19,237.0,238.8944,235.95,236.2
2014-06-20,235.7,237.1271,234.0,234.6
2014-06-23,235.25,235.25,233.1,234.3
2014-06-24,236.0,236.8325,232.25,233.7
2014-06-25,232.9,233.7003,229.65,230.0
2014-06-26,224.5,226.0415,209.4,215.0
2014-06-27,214.15,220.6941,212.8774,216.05
2014-06-30,219.146298,220.267676,211.8,212.8
2014-07-01,213.9,216.5335,213.7475,216.0
2014-07-02,216.35,218.8,216.35,217.1
2014-07-03,217.75,220.5917,217.189,219.35
