date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,3195.5,3219.0,3186.0,3205.5
2014-01-07,3202.0,3219.5,3185.5,3185.5
2014-01-08,3193.9775,3193.9775,3087.5,3154.5
2014-01-09,3153.0,3166.5,3105.0,3111.5
2014-01-10,3142.0,3143.0,3081.53,3084.5
2014-01-13,3089.0,3096.0,3018.0,3042.5
2014-01-14,3040.0,3075.1040000000003,3025.0,3054.0
2014-01-15,3080.0,3086.0,3073.0,3084.0
2014-01-16,3081.5,3093.5,3059.0,3085.0
2014-01-17,3088.0,3105.0,3063.5,3075.0
2014-01-20,3080.0,3127.0,3073.3433,3121.0
2014-01-21,3125.0,3163.0,3114.5,3148.0
2014-01-22,3150.0,3177.0,3149.5,3167.0
2014-01-23,3163.0,3192.0,3121.0,3126.5
2014-01-24,3120.5,3146.5,3068.0,3073.5
2014-01-27,3073.0,3078.0,3022.0,3024.5
2014-01-28,3025.0,3032.0,2979.5,2985.0
2014-01-29,3000.5,3001.0,2922.8283,2929.0
2014-02-03,2914.5,2944.5,2903.0,2916.5
2014-02-04,2900.0,2922.0,2900.0,2903.5
2014-02-05,2906.0,2920.5,2878.5,2881.0
2014-02-06,2891.0,2932.5,2884.0,2928.0
2014-02-07,2935.5,2953.5,2910.5,2925.0
2014-02-10,2938.0,2966.5,2935.0,2966.5
2014-02-11,2984.5,2995.5,2967.5,2993.0
2014-02-12,3000.0,3012.5,2985.0,2995.0
2014-02-13,2994.5,3063.5,2986.5,3052.0
2014-02-14,3042.5,3049.0,3022.05,3047.0
2014-02-17,3058.0,3109.925,3046.436,3108.5
2014-02-18,3122.5,3146.5,3096.0,3141.0
2014-02-19,3118.5,3132.5,3098.8,3126.5
2014-02-20,3100.5,3152.0,3091.5,3152.0
2014-02-21,3148.5,3173.0,3143.5,3155.0
2014-02-24,3141.0,3182.5,3119.1461,3182.5
2014-02-25,3182.5,3189.5,3142.0,3176.5
2014-02-26,3172.5,3193.0,3153.5,3174.0
2014-02-27,3185.0,3240.0,3129.0,3219.5
2014-02-28,3251.74931,3274.5892,3227.625,3250.0
