date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,488.35,491.6,485.1,488.95
2014-01-07,488.05,495.1091,484.1,494.0
2014-01-08,494.5,494.7206,491.25,492.85
2014-01-09,495.1,499.9,494.1,495.3
2014-01-10,489.0,499.35,487.0,497.0
2014-01-13,496.3,497.65,490.5437,495.8
2014-01-14,490.95,492.8080000000001,487.0,491.05
2014-01-15,493.4,494.9,491.045,492.85
2014-01-16,490.9,491.35,487.4,489.45
2014-01-17,482.0,492.0,473.7025,491.05
2014-01-20,490.4,494.7,487.3,494.3
2014-01-21,494.15,495.3,490.7,491.3
2014-01-22,491.3,495.4,490.7,493.6
2014-01-23,491.8,494.3,487.73800000000006,488.15
2014-01-24,489.7,493.05,485.45,486.65
2014-01-27,485.1,487.1,474.45,475.8
2014-01-28,477.6,480.65,474.65,476.9
2014-01-29,479.75,480.45,472.55,476.9
2014-02-03,475.9,479.0546,472.75,473.6
2014-02-04,472.5,476.35,463.8,473.8
2014-02-05,473.55,476.1,468.85,470.05
2014-02-06,472.2,484.0,469.67800000000005,482.15
2014-02-07,483.75,486.05,476.75,481.7
2014-02-10,483.95,488.17,478.739253,482.05
2014-02-11,484.4,491.75,484.354,491.75
2014-02-12,487.35,493.1999,486.0,487.05
2014-02-13,487.15,490.0,482.2,485.2
2014-02-14,484.5,487.65,482.4,486.4
2014-02-17,486.4,492.35,483.95,487.7
2014-02-18,488.4,495.85,488.0438,495.1
2014-02-19,495.6,499.55,492.35,495.0
2014-02-20,493.8,500.0,493.723,499.55
2014-02-21,500.8,505.2,499.45,501.7
2014-02-24,498.4,505.95,498.4,505.9
2014-02-25,506.0,509.9487,503.5,508.0
2014-02-26,507.0,510.0,504.7,506.8
2014-02-27,504.9,508.4,500.8,503.3
2014-02-28,504.8,506.1,501.1,504.4
2014-03-03,499.7,500.0,491.8,492.9
2014-03-04,492.85,495.45,481.0,491.5
2014-03-05,491.0,491.0,485.2,486.0
2014-03-06,488.15,489.7,485.1,486.9
2014-03-07,487.85,488.3,480.05,480.05
2014-03-10,480.0,487.15,479.25,484.0
2014-03-11,484.15,487.85,483.2,484.0
2014-03-12,483.1,485.8,482.15,482.6
2014-03-13,484.1,484.3,477.85,478.5
2014-03-14,478.8,486.0711,476.3,477.25
2014-03-17,479.2,479.956,475.068,476.85
2014-03-18,476.05,480.5,475.05,477.0
2014-03-19,477.15,479.0521,473.5,476.95
2014-03-20,477.0,477.0,467.6,468.25
2014-03-21,463.638045,474.0,462.636792,468.75
2014-03-24,470.45,473.4,468.15,468.5
2014-03-25,470.15,476.35,466.0,473.95
2014-03-26,473.25,479.75,472.0,476.2
2014-03-27,474.1,477.15,471.5,476.35
2014-03-28,477.9,497.6914,476.95,484.15
2014-03-31,485.35,486.6,478.8,480.0
2014-04-01,480.7,484.95,480.5,484.3
2014-04-02,484.15,488.15,482.0,485.4
2014-04-03,484.85,488.8,482.8,485.15
2014-04-04,486.6,495.68,483.4,490.05
2014-04-07,486.0,489.465,482.8,484.85
2014-04-08,482.9,485.15,476.9,477.2
2014-04-09,478.2,483.15,477.871,482.9
2014-04-10,484.55,486.294386,481.0,484.0
2014-04-11,480.9,482.65,475.1,475.45
2014-04-14,471.55,474.55,467.1,474.55
2014-04-15,474.85,478.15,472.8,473.5
2014-04-16,476.5,479.9,476.0,478.5
2014-04-17,480.2,483.0,477.5,482.05
2014-04-22,483.25,488.2,482.293,486.6
2014-04-23,486.7,487.25,482.35,485.85
2014-04-24,487.5,489.65,486.0,489.35
2014-04-25,490.0,496.0,489.182,493.5
2014-04-28,490.85,492.25,483.95,488.35
2014-04-29,491.0,502.65,491.0,502.6
2014-04-30,496.75,506.1,495.5,499.2
2014-05-02,498.65,503.8,497.75,501.7
2014-05-07,495.75,504.2,494.0,501.4
2014-05-08,501.6,506.7832,499.75,501.3
2014-05-09,501.6,502.77354,499.0,500.9
2014-05-12,501.3,504.42800000000005,498.9,501.3
2014-05-13,502.0,502.0,497.35,500.2
2014-05-14,500.3,504.2,499.2,503.5
2014-05-15,504.4,505.3,500.0358,503.0
2014-05-16,502.980576,508.1,502.980576,507.1
2014-05-19,508.4,510.262,505.83,509.1
2014-05-20,504.8,506.9,501.0,506.3
2014-05-21,505.1,509.3,505.1,509.3
2014-05-22,511.1,511.1,501.0,508.2
2014-05-23,507.6,507.92,504.7,507.0
2014-05-27,508.9,508.9,503.5,504.2
2014-05-28,503.7,507.95,502.6,506.1
2014-05-29,505.8,509.4,504.7,505.6
2014-05-30,503.9,506.6,501.0,503.0
2014-06-02,504.5,506.5,503.3,504.9
2014-06-03,503.5,505.3,501.5,503.2
2014-06-05,498.75,502.1,494.3,499.7
2014-06-09,504.1,506.4,502.8,505.6
2014-06-10,504.4,507.2,502.6345,507.2
2014-06-11,508.9,509.2,503.536,506.0
2014-06-12,505.2,509.0,503.8,508.3
2014-06-13,510.414928,513.9564,505.2,507.5
2014-06-16,507.5,510.5,505.6,505.6
2014-06-17,507.4,508.0,503.7,506.1
2014-06-18,508.0,514.5534849999999,504.9,514.4
2014-06-19,515.9,519.0444,515.25,515.7
2014-06-20,515.7,520.6,513.8,518.6
2014-06-23,517.4,521.3,515.0,520.0
2014-06-24,521.0,526.8,520.605,523.9
2014-06-25,519.1,520.5,515.9413,516.9
2014-06-26,516.8,518.0,511.7,515.5
2014-06-27,516.0,519.8,514.6,514.6
2014-06-30,516.3,519.3,513.12,514.9
2014-07-01,515.9964,518.5,513.7,515.3
2014-07-02,515.8,520.0,514.6,519.8
2014-07-03,520.7,521.655,515.6,516.9
2014-07-04,516.5,521.349,516.1,519.2
2014-07-07,519.0,519.4,512.1335,513.7
2014-07-08,514.3,514.8,509.9,510.7
2014-07-09,509.6,509.9,503.5,508.0
2014-07-10,507.9,508.9,502.5,503.7
2014-07-11,504.9,505.8642,501.9338,503.8
2014-07-14,503.4,507.155,501.2,503.4
2014-07-15,502.4,505.7,499.85,500.3
2014-07-16,501.5,507.7,500.8,506.6
2014-07-17,504.9,525.8,495.9,496.8
2014-07-18,495.75,497.3051,492.44,493.7
2014-07-21,492.45,496.15,491.85,492.05
2014-07-22,495.25,499.0,494.0,498.5
2014-07-23,496.9,501.705,495.05,500.8
2014-07-24,500.0,504.0,498.7,503.8
2014-07-25,501.9,503.0,498.35,499.1
2014-07-28,499.45,499.45,494.0,496.85
2014-07-29,499.55,501.3,483.28186,484.25
2014-07-30,482.0,486.3286,479.5,481.75
2014-07-31,485.0,487.9,482.75,484.0
2014-08-01,483.9,485.95,476.6515,482.95
2014-08-04,482.5,487.4,480.15,484.55
2014-08-05,487.75,490.15,482.3,482.3
2014-08-06,475.0,478.1,473.05,473.7
2014-08-07,474.0,476.65,468.45,469.1
2014-08-08,466.35,468.8,463.6749,464.05
2014-08-11,469.85,472.7,467.3582,469.0
2014-08-12,470.45,471.9,466.7,468.9
2014-08-13,469.65,472.3,466.89,470.25
2014-08-14,470.75,474.74,469.05,472.0
2014-08-18,472.85,476.89,472.85,474.0
2014-08-19,477.25,481.6,475.65,481.6
2014-08-20,483.95,485.5,475.034058,481.0
2014-08-21,483.1,485.05,481.5,483.85
2014-08-22,483.4,485.2,480.0,485.1
2014-08-26,487.75,487.75,482.75,485.75
2014-08-27,485.25,486.9298,483.6,485.4
2014-08-28,483.1,485.2,480.8,482.35
2014-08-29,481.9,483.95,477.45,481.65
2014-09-01,481.95,483.0,480.0,482.7
2014-09-02,484.5,486.14,475.8,477.3
2014-09-03,478.05,485.6,476.5,483.75
2014-09-04,484.7,488.8,453.8,455.0
2014-09-05,457.0,467.25,450.3,466.8
2014-09-11,476.35,478.37038,462.061055,472.2
2014-09-12,472.6,494.9,458.669315,470.15
2014-09-15,467.0,468.3,462.5,468.3
2014-09-16,469.1,473.0017,465.6,472.35
2014-09-17,472.6,478.33,469.8,471.05
2014-09-18,470.75,475.9,469.955,471.3
2014-09-19,475.1,478.4,473.3,473.3
2014-09-22,473.05,475.21,468.55,469.95
2014-09-23,470.0,471.3,464.85,466.05
2014-09-24,466.05,468.0,455.148,464.95
2014-09-25,462.85,463.75,450.15,451.8
2014-09-26,450.8,453.5,440.7195,451.7
2014-09-29,454.2,456.65,444.03,456.35
2014-09-30,457.0,458.5123,450.55,453.45
2014-10-01,454.85,455.45,449.55,452.75
2014-10-02,452.4,452.9,439.85,440.1
2014-10-06,445.45,448.45,442.35,446.1
2014-10-07,444.95,445.5,440.45,441.75
2014-10-08,442.4,444.2,438.6333,440.15
2014-10-10,433.9,434.5,428.05,428.15
2014-10-13,427.9,434.45,425.55,431.95
2014-10-14,429.0,430.0742,423.25,426.65
2014-10-15,427.1,428.95,416.7,416.7
2014-10-16,419.8,423.3,405.35,420.0
2014-10-17,422.6,431.54,419.5,428.5
2014-10-20,428.8,430.05,419.65,421.9
