date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1028.532851,1039.1801890000002,1020.547347,1024.806283
2014-01-07,1026.93575,1029.597585,1007.548758,1023.209182
2014-01-08,1022.676815,1025.338649,1008.835276,1010.432376
2014-01-09,1013.094211,1019.482614,1000.849772,1004.57634
2014-01-10,1005.641074,1021.612081,1005.641074,1014.691311
2014-01-13,1017.353146,1023.218232,1012.029477,1020.547347
2014-01-14,1012.029477,1024.273916,1008.302909,1021.079714
2014-01-15,1026.403383,1030.129952,1023.209182,1028.000484
2014-01-16,1031.194685,1038.115455,1026.93575,1033.324153
2014-01-17,1035.453621,1048.762793,1023.741549,1026.93575
2014-01-20,1031.194685,1036.5183539999998,1029.597585,1032.791786
2014-01-21,1029.065218,1049.29516,1029.065218,1041.309656
2014-01-22,1035.985987,1040.244923,1024.806283,1029.597585
2014-01-23,1029.065218,1029.597585,1018.41788,1021.079714
2014-01-24,1008.302909,1011.49711,995.8675631,997.1232037
2014-01-27,996.5908368,1003.490312,984.3463981,985.9434988
2014-01-28,988.0729664,997.6555706,984.3463981,992.8642685
2014-01-29,996.0584699,1011.188337,980.6198298,991.7995347
2014-02-03,969.9724918,1004.57634,964.1164559,965.7135566
2014-02-04,961.4546214,969.4401249,958.6437242,961.4546214
2014-02-05,961.9869883,964.1164559,955.0662186,957.7280531
2014-02-06,976.8932615,976.8932615,954.0014848,959.8575207
2014-02-07,960.9222545,961.9869883,946.5483482,949.7425496
2014-02-10,952.4043841,953.4691179,940.1599454,948.6778158
2014-02-11,951.8720172,965.7135566,950.8072833999998,965.7135566
2014-02-12,969.9724918,977.9579953,965.1811897,975.2961608
2014-02-13,974.231427,981.1521967,952.936751,963.0517221
2014-02-14,965.7135566,974.2846637,962.2531718,972.6343263
2014-02-17,976.3608946,984.5270834,975.3387502,979.555096
2014-02-18,982.7492974,992.8642685,977.9579953,992.3319016
2014-02-19,991.7995347,997.6555706,979.555096,981.6845636
2014-02-20,977.4256284,981.6845636,973.6351761,976.3608946
2014-02-21,976.8932615,990.202434,976.8932615,983.8140312
2014-02-24,982.2169305,1000.849772,981.6845636,999.2526713
2014-02-25,1001.914506,1007.238175,994.9937361,1001.914506
2014-02-26,1002.446873,1007.770542,996.5908368,1001.382139
2014-02-27,1000.317405,1006.173441,993.9290023,998.7203044
2014-02-28,997.6555706,1009.367642,992.3319016,1005.641074
2014-03-03,996.5908368,1005.641074,987.5405995,998.7203044
2014-03-04,1001.914506,1016.884663,1001.914506,1016.288412
2014-03-05,1014.691311,1016.820779,1003.511607,1004.57634
2014-03-06,1006.173441,1010.432376,1002.97924,1004.57634
2014-03-07,1003.511607,1015.223678,999.2526713,1006.705808
2014-03-10,1007.770542,1009.367642,996.1223539,999.2526713
2014-03-11,999.7850382,1001.914506,986.4758657,997.1232037
2014-03-12,992.3319016,995.526103,979.555096,979.555096
2014-03-13,980.0874629,982.2169305,973.1666932,973.1666932
2014-03-14,969.4401249,976.3608946,967.8430242,971.0372256
2014-03-17,972.6343263,980.0874629,969.4401249,974.231427
2014-03-18,972.1019594,984.3463981,967.3106573,978.4903622000002
2014-03-19,979.555096,982.7492974,973.1666932,973.6990601
2014-03-20,967.8430242,971.0372256,960.3898876,966.2459235
2014-03-21,966.2459235,971.5695925,958.6437242,966.2459235
2014-03-24,964.6488228,969.4401249,956.1309524,959.3251537999998
2014-03-25,959.3251537999998,979.555096,959.3251537999998,976.8932615
2014-03-26,979.0227291,996.5908368,978.6820143,989.1377002
2014-03-27,984.878765,989.6700671,977.4256284,982.7492974
2014-03-28,984.878765,989.6700671,979.0227291,980.0874629
2014-03-31,984.3463981,988.0729664,971.0372256,974.231427
2014-04-01,974.7637939,980.0874629,970.5048587,977.9579953
2014-04-02,979.555096,986.4758657,974.231427,974.231427
2014-04-03,973.1666932,977.9579953,965.1811897,966.7782904
2014-04-04,967.8430242,976.3608946,967.8430242,975.2961608
2014-04-07,968.907758,978.4903622000002,965.1811897,972.6343263
2014-04-08,972.6343263,973.1666932,952.4043841,963.0517221
2014-04-09,965.1811897,971.5695925,961.878066,968.3753911
2014-04-10,974.7637939,988.0729664,967.8430242,980.6198298
2014-04-11,971.5695925,974.231427,959.6730023,967.3106573
2014-04-14,962.5193552,971.1330516,949.7425496,971.0372256
2014-04-15,967.8430242,975.2961608,963.0517221,965.7135566
2014-04-16,972.1019594,975.8285277,963.0517221,966.2459235
2014-04-17,969.9724918,981.1521967,965.7135566,979.0227291
2014-04-22,979.555096,990.266318,975.8285277,985.4111319
2014-04-23,989.1377002,997.6555706,987.5405995,994.9937361
2014-04-24,997.6555706,999.7850382,983.8140312,992.8642685
2014-04-25,990.7348009,996.6440735,988.0729664,996.5908368
2014-04-28,996.5908368,1004.043973,988.0729664,989.1377002
2014-04-29,993.9290023,1001.382139,986.4119817,996.5908368
2014-04-30,991.7995347,1004.043973,988.6053333,1002.97924
2014-05-02,1001.914506,1011.433226,999.2526713,1006.705808
2014-05-07,1012.561844,1030.129952,1011.49711,1023.741549
2014-05-08,1024.806283,1027.468117,1021.612081,1024.273916
2014-05-09,1025.338649,1035.453621,1021.612081,1034.3888869999998
2014-05-12,1038.647822,1045.568592,1032.791786,1044.503858
2014-05-13,1049.29516,1052.489361,1038.115455,1043.971491
2014-05-14,1086.028476,1106.258418,1057.280663,1060.474865
2014-05-15,1056.21593,1065.798534,1054.086462,1057.280663
2014-05-16,1062.071966,1068.992735,1045.632476,1054.618829
2014-05-19,1057.81303,1072.186937,1056.748297,1065.798534
2014-05-20,1065.798534,1074.316404,1056.748297,1057.81303
2014-05-21,1048.762793,1054.086462,1043.439124,1049.827527
2014-05-22,1048.762793,1067.928001,1047.698059,1066.863268
2014-05-23,1065.798534,1070.909256,1057.280663,1059.410131
2014-05-27,1062.604332,1079.05447,1062.071966,1068.992735
2014-05-28,1064.7338,1068.992735,1060.474865,1066.863268
2014-05-29,1064.201433,1073.209081,1059.410131,1066.863268
2014-05-30,1065.798534,1072.186937,1056.748297,1059.942498
2014-06-02,1063.669066,1074.209931,1059.410131,1064.201433
2014-06-03,1063.136699,1072.027227,1059.942498,1060.474865
2014-06-05,1072.186937,1073.9331,1059.191328,1064.7338
2014-06-09,1078.575339,1080.704807,1067.928001,1071.122203
