date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1566.0,1589.0,1562.0,1579.0
2014-01-07,1592.0,1603.0,1571.0,1592.0
2014-01-08,1595.0,1598.0,1573.781685,1587.0
2014-01-09,1615.0,1652.1,1611.0,1625.0
2014-01-10,1629.0,1631.0,1602.0,1619.0
2014-01-13,1633.0,1647.0,1619.0,1645.0
2014-01-14,1616.0,1654.0,1602.0,1653.0
2014-01-15,1660.0,1665.0,1646.319224,1655.0
2014-01-16,1660.0,1664.0,1650.0,1656.0
2014-01-17,1666.0,1670.0,1642.0,1653.0
2014-01-20,1647.0,1656.0,1636.0,1637.0
2014-01-21,1640.0,1646.0,1630.0,1630.0
2014-01-22,1635.0,1645.0,1631.0,1636.0
2014-01-23,1645.0,1646.0,1618.0,1628.0
2014-01-24,1623.41785,1637.0,1589.0,1591.0
2014-01-27,1595.0,1610.0,1555.0,1562.0
2014-01-28,1566.0,1613.0,1566.0,1609.0
2014-01-29,1636.0,1642.0,1573.0,1609.0
2014-02-03,1560.0,1587.0,1558.0,1565.0
2014-02-04,1560.0,1574.0,1533.0,1569.0
2014-02-05,1560.0,1568.0,1544.0,1554.0
2014-02-06,1560.0,1599.0,1551.0,1598.0
2014-02-07,1597.0,1644.0,1582.0,1638.0
2014-02-10,1646.0,1652.0,1631.170158,1633.0
2014-02-11,1643.0,1654.0,1636.0,1654.0
2014-02-12,1661.0,1661.0,1634.0,1651.0
2014-02-13,1656.0,1656.0,1603.0,1627.0
2014-02-14,1630.0,1642.0,1616.0,1623.0
2014-02-17,1618.0,1649.0,1618.0,1646.0
2014-02-18,1645.0,1660.0,1621.0,1654.0
2014-02-19,1648.0,1662.0,1633.0,1649.0
2014-02-20,1623.0,1650.46,1623.0,1644.0
2014-02-21,1665.0,1668.0,1641.0,1653.0
2014-02-24,1651.0,1684.0,1651.0,1684.0
2014-02-25,1670.0,1796.0,1656.0,1788.0
2014-02-26,1795.0,1795.0,1745.0,1751.0
2014-02-27,1753.0,1760.0,1729.0,1759.0
2014-02-28,1757.0,1773.0,1752.0,1763.0
2014-03-03,1730.0,1740.0,1704.113505,1712.0
2014-03-04,1731.0,1777.0,1720.0,1777.0
2014-03-05,1742.0,1753.0,1715.0,1723.0
2014-03-06,1724.0,1744.0,1723.0,1744.0
2014-03-07,1746.0,1746.0,1695.0,1695.0
2014-03-10,1695.0,1719.0,1681.0,1702.0
2014-03-11,1693.0,1733.0,1693.0,1715.0
2014-03-12,1695.0,1705.0,1687.0,1691.0
2014-03-13,1700.0,1700.0,1670.0,1670.0
2014-03-14,1655.0,1661.0,1624.0,1644.0
2014-03-17,1646.0,1663.5,1642.0,1658.0
2014-03-18,1648.0,1670.0,1635.0,1665.0
2014-03-19,1661.0,1675.0,1649.0,1651.0
2014-03-20,1625.0,1650.0,1613.5,1647.0
2014-03-21,1647.0,1669.0,1634.0,1634.0
2014-03-24,1623.0,1647.0,1612.0,1615.0
2014-03-25,1626.0,1661.0,1626.0,1660.0
2014-03-26,1665.0,1686.0,1661.0,1680.0
2014-03-27,1665.0,1681.0,1657.0,1671.0
2014-03-28,1678.0,1678.0,1664.0,1673.0
2014-03-31,1678.0,1683.0,1666.0,1675.0
2014-04-01,1679.0,1721.0,1677.0,1721.0
2014-04-02,1716.0,1777.0414239999998,1708.0,1725.0
2014-04-03,1724.0,1729.0,1702.0,1706.0
2014-04-04,1695.0,1788.0,1694.0,1775.0
2014-04-07,1769.0,1811.0,1760.0,1760.0
2014-04-08,1760.0,1763.0,1706.0,1729.0
2014-04-09,1731.0,1751.0,1722.0,1749.0
2014-04-10,1770.0,1781.0,1755.0,1760.0
2014-04-11,1732.0,1754.0,1723.0,1737.0
2014-04-14,1729.0,1741.0,1699.0,1714.0
2014-04-15,1711.0,1722.0,1693.0,1702.0
2014-04-16,1719.0,1735.0,1711.0,1726.0
2014-04-17,1729.0,1730.0,1708.6740100000002,1717.0
2014-04-22,1720.0,1744.0,1712.0,1743.0
2014-04-23,1733.0,1750.0,1717.713224,1729.0
2014-04-24,1742.0,1754.0,1711.0,1722.0
2014-04-25,1711.0,1729.0,1701.0,1708.0
2014-04-28,1712.0,1722.0,1701.0,1708.0
2014-04-29,1709.0,1726.0,1708.0,1724.0
2014-04-30,1714.0,1727.0,1708.0,1716.0
2014-05-02,1721.0,1744.0,1715.0,1726.0
2014-05-07,1745.0,1751.0,1672.0,1679.0
2014-05-08,1681.0,1685.0,1666.0,1682.0
2014-05-09,1680.0,1695.0,1664.0,1664.0
2014-05-12,1680.0,1693.255786,1654.0,1692.0
2014-05-13,1701.0,1712.0,1687.0,1693.0
2014-05-14,1691.0,1695.0,1673.0,1682.0
2014-05-15,1680.0,1691.0,1596.0,1601.0
2014-05-16,1600.0,1620.0,1572.0,1607.0
2014-05-19,1617.0,1632.0,1598.0,1625.0
2014-05-20,1626.0,1632.0,1608.0,1609.0
2014-05-21,1608.0,1632.917791,1603.0,1623.0
2014-05-22,1627.0,1633.0,1609.0,1620.0
2014-05-23,1629.0,1639.0,1620.0,1633.0
2014-05-27,1650.0,1681.0,1633.0,1680.0
2014-05-28,1672.0,1695.0,1668.0,1673.0
2014-05-29,1672.0,1682.0,1653.0,1664.0
2014-05-30,1665.0,1667.0,1636.0,1637.0
2014-06-02,1637.27703,1648.0,1626.0,1644.0
2014-06-03,1653.0,1655.0,1619.0,1635.0
2014-06-05,1654.0,1686.0,1647.0,1685.0
2014-06-09,1731.0,1740.0,1714.0,1714.0
2014-06-10,1715.0,1729.823256,1707.0,1722.0
2014-06-11,1722.0,1729.0,1698.0,1699.0
2014-06-12,1708.0,1715.6265629999998,1692.0,1707.0
2014-06-13,1701.0,1701.0,1655.0,1659.0
2014-06-16,1648.0,1662.0,1634.524996,1638.0
2014-06-17,1630.0,1638.0,1593.0,1625.0
2014-06-18,1622.0,1636.0,1602.0,1611.0
2014-06-19,1635.0,1669.64,1628.0,1657.0
2014-06-20,1648.0,1675.0,1614.103843,1622.0
2014-06-23,1619.0,1635.0,1579.0,1579.0
2014-06-24,1585.0,1595.0,1553.0,1553.0
2014-06-25,1555.0,1557.0,1515.0,1526.0
2014-06-26,1533.0,1546.0,1513.0,1531.0
2014-06-27,1535.0,1535.0,1513.0,1520.0
2014-06-30,1527.0,1528.0,1495.0,1501.0
2014-07-01,1508.0,1539.0,1496.0,1537.0
2014-07-02,1536.0,1542.0,1513.0,1523.0
2014-07-03,1520.0,1556.0,1516.0,1555.0
2014-07-04,1556.0,1556.0,1533.0,1535.0
2014-07-07,1533.0,1545.0,1522.0,1524.0
2014-07-08,1532.0,1534.0,1493.0,1494.0
2014-07-09,1496.0,1523.0,1489.0,1516.0
2014-07-10,1509.0,1515.56,1483.0,1489.0
2014-07-11,1498.0,1514.0,1481.0,1483.0
2014-07-14,1487.0,1508.0,1487.0,1506.0
2014-07-15,1504.0,1515.0,1482.0,1482.0
2014-07-16,1484.0,1506.0,1480.0,1499.0
2014-07-17,1490.0,1497.0,1459.711056,1469.0
2014-07-18,1465.0,1470.0,1446.0,1469.0
2014-07-21,1460.55,1470.0,1450.0,1463.0
2014-07-22,1470.0,1475.0,1458.0,1460.0
2014-07-23,1459.0,1463.0,1455.0,1459.0
2014-07-24,1456.0,1459.0,1415.0,1458.0
2014-07-25,1450.0,1466.0,1437.0,1441.0
2014-07-28,1449.0,1452.0,1430.0,1435.0
2014-07-29,1441.0,1473.0,1437.0,1463.0
2014-07-30,1459.0,1461.0,1420.0079999999998,1431.0
2014-07-31,1432.0,1436.975727,1382.993197,1387.0
2014-08-01,1389.0,1401.0,1362.0,1386.0
2014-08-04,1397.0,1402.0,1377.0,1377.0
2014-08-05,1392.0,1392.0,1362.0,1367.0
2014-08-06,1360.0,1364.0,1337.0,1358.0
2014-08-07,1365.0,1367.0,1340.0,1343.0
2014-08-08,1327.0,1356.0,1325.0,1344.0
2014-08-11,1350.0,1368.0,1348.0,1360.0
2014-08-12,1355.0,1378.0,1348.0,1369.0
