date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1995.5,1997.0,1972.0,1977.0
2014-01-07,1977.0,1990.5,1964.0,1965.0
2014-01-08,1964.0,1968.0,1933.5,1938.5
2014-01-09,1945.0,1945.0,1897.63,1939.0
2014-01-10,1939.0,1980.0,1939.0,1978.0
2014-01-13,1985.5,2000.5,1966.7052,1996.0
2014-01-14,1989.0,2007.5,1976.5,2003.5
2014-01-15,2006.5,2006.5,1977.0,1981.5
2014-01-16,1981.0,1992.5,1951.5,1962.0
2014-01-17,1967.0,2043.5,1931.5,1931.5
2014-01-20,1933.5,1952.5,1930.0,1947.0
2014-01-21,1946.5,1995.5,1942.0,1985.0
2014-01-22,1994.5,2008.5,1986.0,1994.0
2014-01-23,1999.5,2008.0,1971.5,1972.5
2014-01-24,1975.0,1990.0,1941.5,1946.5
2014-01-27,1947.0,1954.0,1907.0,1910.0
2014-01-28,1910.0,1923.5,1901.0,1902.5
2014-01-29,1925.0,1925.0,1883.5,1910.0
2014-02-03,1819.0,1835.0,1790.27,1792.5
2014-02-04,1788.5,1793.5,1767.6186,1768.0
2014-02-05,1773.0,1782.0,1751.86,1778.0
2014-02-06,1783.0,1823.0,1772.0,1820.0
2014-02-07,1829.5,1831.5,1811.0,1818.0
2014-02-10,1825.5,1841.0,1816.0,1829.0
2014-02-11,1832.0,1848.5,1823.5,1848.0
2014-02-12,1865.5,1866.98,1838.5,1847.0
2014-02-13,1845.0,1846.5,1814.0,1820.0
2014-02-14,1820.0,1843.0912,1807.5,1838.5
2014-02-17,1851.0,1866.5,1841.5,1865.5
2014-02-18,1878.0,1879.7995,1857.0,1871.0
2014-02-19,1874.0,1903.05,1870.5,1902.5
2014-02-20,1893.0,1903.5,1878.5,1903.5
2014-02-21,1906.0,1920.0,1890.0,1894.5
2014-02-24,1890.0,1910.0,1884.5,1910.0
2014-02-25,1905.0,1914.0,1884.5,1896.0
2014-02-26,1874.0,1883.0,1863.0,1873.5
2014-02-27,1869.5,1889.5,1851.0,1872.5
2014-02-28,1863.5,1886.565,1858.0,1878.5
2014-03-03,1856.5,1859.5,1832.0,1842.0
2014-03-04,1855.5,1884.0,1855.5,1875.0
2014-03-05,1874.5,1874.5,1856.0,1859.0
2014-03-06,1860.5,1872.0519,1855.5,1857.5
2014-03-07,1866.5,1870.5,1838.5,1841.5
2014-03-10,1833.0,1855.464,1832.5,1855.0
2014-03-11,1863.5,1863.5,1843.82,1849.0
2014-03-12,1838.5,1841.875,1808.0,1809.5
2014-03-13,1816.5,1827.0,1803.0,1806.0
2014-03-14,1802.5,1829.0,1797.0,1821.0
2014-03-17,1818.0,1819.5,1778.0,1780.0
2014-03-18,1780.0,1800.5,1775.0,1797.5
2014-03-19,1804.0,1805.0,1774.82,1790.0
2014-03-20,1780.0,1792.5,1765.8,1791.5
2014-03-21,1799.0,1810.0,1789.42,1800.0
2014-03-24,1812.5,1824.0,1798.0,1819.5
2014-03-25,1822.0,1854.5,1819.7,1850.5
2014-03-26,1854.5,1862.0,1835.5,1837.0
2014-03-27,1828.5,1869.5,1820.5,1864.0
2014-03-28,1866.0,1878.0,1859.5,1868.5
2014-03-31,1879.5,1892.0,1853.5,1861.0
2014-04-01,1865.5,1865.5,1829.0,1851.5
2014-04-02,1848.0,1852.5,1825.0,1832.0
2014-04-03,1835.0,1840.0,1825.5,1833.5
2014-04-04,1847.0,1866.0,1837.0,1858.0
2014-04-07,1845.5,1865.5,1842.5,1855.5
2014-04-08,1850.0,1879.0,1847.5,1878.5
2014-04-09,1878.0,1909.5,1876.5,1882.0
2014-04-10,1879.5,1898.2626,1873.5,1889.0
2014-04-11,1874.0,1884.0,1857.5,1872.5
2014-04-14,1866.0,1937.0,1865.5,1917.0
2014-04-15,1911.5,1919.0,1892.5,1910.0
2014-04-16,1914.0,1917.0,1892.75,1900.0
2014-04-17,1820.0,1841.5,1804.0,1829.0
2014-04-22,1871.5,1879.5,1834.0,1838.0
2014-04-23,1840.5,1847.5,1814.67,1816.5
2014-04-24,1818.5,1826.0,1805.0,1805.5
2014-04-25,1800.5,1810.5,1799.0,1807.0
2014-04-28,1804.0,1828.0,1795.0,1821.5
2014-04-29,1823.0,1829.0,1810.5,1826.0
2014-04-30,1815.5,1831.5,1808.5,1817.5
2014-05-02,1825.0,1842.0,1816.5,1825.5
2014-05-07,1824.5,1830.5,1814.5,1825.0
2014-05-08,1830.0,1839.5,1815.5,1830.5
