date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1109.0,1129.5,1103.0,1120.0
2014-01-07,1120.0,1122.0,1097.0,1102.0
2014-01-08,1102.0,1105.0,1095.0,1101.0
2014-01-09,1102.0,1110.0,1097.0,1101.0
2014-01-10,1106.0,1112.0,1100.0,1107.0
2014-01-13,1111.0,1134.0,1110.0,1131.0
2014-01-14,1124.0,1139.0,1119.0,1136.0
2014-01-15,1139.0,1150.0,1134.0,1150.0
2014-01-16,1155.0,1182.0,1138.0,1141.0
2014-01-17,1141.0,1142.0,1122.0,1126.0
2014-01-20,1124.0,1155.0,1124.0,1130.0
2014-01-21,1130.0,1143.0,1122.0,1143.0
2014-01-22,1141.0,1151.0,1138.75,1143.0
2014-01-23,1144.0,1148.0,1119.0,1124.0
2014-01-24,1127.0,1130.0,1068.0,1072.0
2014-01-27,1068.0,1076.0,1047.0,1060.0
2014-01-28,1064.0,1074.0,1056.0,1073.0
2014-01-29,1083.0,1087.0,1052.0,1058.0
2014-02-03,1038.0,1060.2,1038.0,1053.0
2014-02-04,1050.0,1060.0,1046.0,1052.0
2014-02-05,1050.0,1057.3315,1043.478,1048.0
2014-02-06,1053.0,1065.0,1047.0,1063.0
2014-02-07,1064.0,1079.441,1064.0,1075.0
2014-02-10,1077.0,1079.0,1064.0,1069.0
2014-02-11,1070.0,1089.0,1069.015934,1089.0
2014-02-12,1090.0,1093.0,1080.0,1081.0
2014-02-13,1081.0,1085.0,1073.0,1077.0
2014-02-14,1075.0,1081.0,1065.0,1069.0
2014-02-17,1067.0,1081.131969,1067.0,1078.0
2014-02-18,1083.0,1093.0,1077.0,1089.0
2014-02-19,1087.0,1106.0,1087.0,1095.0
2014-02-20,1088.0,1095.0,1081.131969,1094.0
2014-02-21,1098.0,1107.0,1090.0,1100.0
2014-02-24,1101.0,1114.0,1097.0,1111.0
2014-02-25,1108.0,1116.0,1096.0,1112.0
2014-02-26,1112.0,1120.0,1106.0,1106.0
2014-02-27,1103.0,1106.0,1086.0,1098.0
2014-02-28,1100.0,1108.0,1070.0,1081.0
2014-03-03,1069.0,1081.5,1060.0,1078.0
2014-03-04,1085.0,1106.0,1085.0,1102.0
2014-03-05,1100.0,1100.0,1070.0,1071.0
2014-03-06,1072.0,1077.0,1063.0,1069.0
2014-03-07,1067.0,1068.0,1043.0,1046.0
2014-03-10,1046.0,1047.0,1020.0,1043.0
2014-03-11,1042.0,1054.0,1038.0,1047.0
2014-03-12,1046.0,1048.0,1034.0,1039.0
2014-03-13,1042.0,1044.0,1027.0,1032.0
2014-03-14,1028.0,1049.0,1025.0,1045.0
2014-03-17,1044.0,1056.0,1044.0,1055.0
2014-03-18,1052.0,1073.0,1047.5,1071.0
2014-03-19,1071.0,1071.0,1062.0,1065.0
2014-03-20,1058.0,1060.0,1045.0,1057.0
2014-03-21,1060.0,1064.0,1053.0,1063.0
2014-03-24,1063.0,1070.0,1046.0,1047.0
2014-03-25,1048.0,1064.2767,1048.0,1054.0
2014-03-26,1058.0,1077.0,1055.0,1074.0
2014-03-27,1072.0,1078.0182,1064.5,1077.0
2014-03-28,1083.0,1097.0,1082.11,1093.0
2014-03-31,1095.0,1101.0,1079.0,1081.0
2014-04-01,1085.0,1094.0,1080.0,1089.0
2014-04-02,1094.0,1100.0,1089.0,1094.0
2014-04-03,1094.0,1097.0,1079.0,1080.0
2014-04-04,1085.0,1088.5288,1078.0,1083.0
2014-04-07,1077.0,1080.28,1060.0,1064.0
2014-04-08,1060.0,1061.0,1035.0,1050.0
2014-04-09,1051.0,1076.0,1047.21,1076.0
2014-04-10,1082.0,1085.0,1071.0,1077.0
2014-04-11,1067.0,1072.0,1045.0,1058.0
2014-04-14,1055.0,1063.0,1048.0,1054.0
2014-04-15,1053.0,1063.0,1043.0,1052.0
2014-04-16,1058.0,1078.0,1057.0,1073.0
2014-04-17,1076.0,1081.0,1069.0,1081.0
2014-04-22,1086.0,1115.0,1081.0,1107.0
2014-04-23,1109.0,1130.0,1107.0,1127.0
2014-04-24,1135.0,1135.0,1121.0,1133.0
2014-04-25,1127.0,1132.281,1120.0,1125.0
2014-04-28,1130.0,1130.0,1118.0,1125.0
2014-04-29,1129.0,1143.0,1129.0,1140.0
2014-04-30,1139.0,1139.0,1123.0,1136.0
2014-05-02,1135.0,1137.28,1120.0,1124.0
2014-05-07,1100.0,1100.0,1053.0,1060.0
2014-05-08,1059.0,1068.0,1054.0,1062.0
2014-05-09,1063.0,1063.0,1046.0,1049.0
2014-05-12,1051.0,1060.5,1047.0,1057.0
2014-05-13,1064.0,1070.2877,1056.0,1065.0
2014-05-14,1076.0,1083.0,1069.0,1083.0
2014-05-15,1084.0,1084.0,1048.5,1055.0
2014-05-16,1059.0,1059.0,1034.0,1040.0
2014-05-19,1039.0,1044.0,1025.0,1032.0
2014-05-20,1034.0,1037.0,1023.0,1024.0
2014-05-21,1026.0,1030.0,1021.0,1025.0
2014-05-22,1026.0,1028.0,1022.0,1024.0
2014-05-23,1024.0,1025.0,1018.0,1022.0
2014-05-27,1028.0,1030.0,1021.0,1023.0
2014-05-28,1024.0,1036.07,1022.0,1035.0
