date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,4622.2,4688.5,4709.7,4606.5
2014-01-07,4661.8,4552.6,4671.6,4552.6
2014-01-08,4635.7,4650.6,4674.4,4629.7
2014-01-09,4624.5,4739.6,4739.6,4554.2
2014-01-10,4703.0,4620.7,4703.7,4620.7
2014-01-13,4724.7,4714.8,4740.4,4711.9
2014-01-14,4672.3,4739.6,4740.4,4649.1
2014-01-15,4680.5,4672.3,4747.8,4660.4
2014-01-16,4658.1,4607.3,4680.5,4607.3
2014-01-17,4523.5,4665.6,4682.0,4501.1
2014-01-20,4626.7,4497.4,4635.7,4497.4
2014-01-21,4561.7,4577.4,4618.5,4557.2
2014-01-22,4504.8,4495.1,4572.1,4422.6
2014-01-23,4478.7,4422.6,4491.4,4422.6
2014-01-24,4412.1,4422.6,4484.6,4403.9
2014-01-27,4426.3,4355.3,4486.1,4355.3
2014-01-28,4448.8,4424.8,4486.1,4418.1
2014-01-29,4418.8,4437.5,4563.2,4411.4
2014-02-03,4363.5,4374.0,4471.2,4363.5
2014-02-04,4397.9,4354.5,4483.9,4354.5
2014-02-05,4371.0,4395.7,4397.9,4371.0
2014-02-06,4374.0,4354.5,4418.1,4354.5
2014-02-07,4359.0,4375.5,4404.6,4359.0
2014-02-10,4385.2,4354.5,4391.2,4354.5
2014-02-11,4365.0,4380.0,4418.1,4354.5
2014-02-12,4351.6,4353.8,4382.2,4344.8
2014-02-13,4418.1,4470.4,4470.4,4323.1
2014-02-14,4396.4,4430.8,4448.8,4396.4
2014-02-17,4396.4,4386.7,4417.4,4370.2
2014-02-18,4337.4,4411.4,4411.4,4329.9
2014-02-19,4366.5,4362.8,4383.7,4287.3
2014-02-20,4433.8,4411.4,4462.2,4411.4
2014-02-21,4448.8,4415.1,4473.4,4415.1
2014-02-24,4455.5,4347.8,4474.2,4347.8
2014-02-25,4451.0,4429.3,4471.2,4425.6
2014-02-26,4445.0,4427.8,4474.2,4427.8
2014-02-27,4411.4,4331.4,4448.0,4331.4
2014-02-28,4528.8,4411.4,4545.2,4405.4
2014-03-03,4530.3,4431.6,4530.3,4410.6
2014-03-04,4542.2,4510.8,4542.2,4445.8
2014-03-05,4481.7,4545.2,4545.2,4480.2
2014-03-06,4495.1,4485.4,4533.2,4459.3
2014-03-07,4523.5,4449.5,4540.7,4449.5
2014-03-10,4590.8,4483.8,4590.8,4483.8
2014-03-11,4527.3,4594.6,4594.6,4467.4
2014-03-12,4456.2,4486.9,4486.9,4421.8
2014-03-13,4430.1,4478.7,4495.1,4421.8
2014-03-14,4418.8,4411.4,4430.8,4394.2
2014-03-17,4478.7,4424.2,4520.5,4394.2
2014-03-18,4502.6,4426.3,4551.9,4426.3
2014-03-19,4412.9,4554.9,4554.9,4291.7
2014-03-20,4486.1,4374.0,4486.1,4339.6
2014-03-21,4381.5,4443.5,4443.5,4350.1
2014-03-24,4299.2,4336.6,4374.0,4264.1
2014-03-25,4321.6,4313.4,4323.9,4286.5
2014-03-26,4329.9,4306.7,4371.0,4280.5
2014-03-27,4239.4,4297.7,4308.2,4219.2
2014-03-28,4231.9,4334.4,4334.4,4186.3
2014-03-31,4321.6,4298.4,4325.4,4252.1
2014-04-01,4314.2,4288.0,4314.9,4224.5
