date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,658.1,664.3,656.388,660.0
2014-01-07,659.8,678.4,659.6,675.8
2014-01-08,673.1,677.9411,671.9113,674.5
2014-01-09,671.461855,673.2,665.0,668.1
2014-01-10,670.1,683.0,669.9,675.6
2014-01-13,674.9,679.2,674.0,677.0
2014-01-14,676.9748,676.9748,668.8,672.9
2014-01-15,675.2,682.9,673.6,681.0
2014-01-16,679.5,683.3,673.3,673.9
2014-01-17,676.0,681.1,675.025,677.7
2014-01-20,674.7,675.8,672.01,673.0
2014-01-21,674.3,678.5,672.1,673.9
2014-01-22,672.9,675.0,668.4,668.9
2014-01-23,668.7876,668.7876,658.1,659.0
2014-01-24,655.0,657.1,644.1,645.9
2014-01-27,642.7,644.4,633.1,635.1
2014-01-28,636.3,639.4692,633.7,633.8
2014-01-29,637.2,637.6369,619.5918,626.3
2014-02-03,627.5,631.5,620.5,621.5
2014-02-04,622.3,629.7493,620.0,624.6
2014-02-05,622.5,629.4,620.0,624.1
2014-02-06,624.1,631.6,621.6,628.1
2014-02-07,627.1,629.6,622.1,627.8
2014-02-10,624.0,631.07,621.3,624.1
2014-02-11,627.6,635.7,627.0,635.4
2014-02-12,635.7,644.4121,635.1,636.4
2014-02-13,633.5,638.9,630.4,638.2
2014-02-14,637.3,641.3048,633.372,638.0
2014-02-17,637.0,650.8272,636.5,647.5
2014-02-18,644.5,656.8,643.0,656.3
2014-02-19,651.193525,661.4937,651.193525,656.6
2014-02-20,646.9,654.5359,645.8,652.1
2014-02-21,654.6,672.65,650.3,654.2
2014-02-24,650.1,651.7919999999999,617.0,635.7
2014-02-25,630.587399,635.7,624.39,627.0
2014-02-26,626.5,630.3,623.3,627.1
2014-02-27,632.9232,636.9,624.1,635.9
2014-02-28,634.5,635.3,628.1,629.7
2014-03-03,622.0,624.3,616.93,622.6
2014-03-04,629.2,635.4,626.0,631.7
2014-03-05,630.2,630.5,622.3,622.6
2014-03-06,627.4,629.0,624.3,625.7
2014-03-07,624.6,626.5,618.589,619.6
2014-03-10,619.5,625.4,614.2,615.7
2014-03-11,621.3,621.5,613.5,616.6
2014-03-12,608.6,610.0,598.85,599.2
2014-03-13,602.0,606.5880000000001,597.14,597.2
2014-03-14,600.9,603.8,597.1,598.1
2014-03-17,598.6,600.8,595.3,597.0
2014-03-18,597.4,608.1,594.2,597.9
2014-03-19,598.63771,598.63771,591.4,591.8
2014-03-20,591.0,597.5830000000001,589.875,594.2
2014-03-21,596.8,614.3,596.2,605.7
2014-03-24,605.5,610.5,605.5,606.2
2014-03-25,607.8,613.8,607.8,611.7
2014-03-26,610.8,615.6,608.7,611.2
2014-03-27,609.0,609.3,605.3,608.3
2014-03-28,610.5,613.5219,606.6,611.0
2014-03-31,611.2,611.2,604.7,607.5
2014-04-01,609.0,615.7,606.7,613.0
2014-04-02,612.4,613.9,609.6,611.2
2014-04-03,610.7,614.9,604.75,610.5
2014-04-04,613.1,628.4,611.3,612.5
2014-04-07,613.061358,613.15,604.2,606.2
2014-04-08,606.5,610.2,602.4,605.0
2014-04-09,608.823521,615.0,608.823521,612.7
2014-04-10,616.7,622.475,616.6,618.7
2014-04-11,622.898465,623.4,614.9,617.6
2014-04-14,623.075714,623.075714,592.986,621.4
2014-04-15,618.9,622.82,593.0923,617.9
2014-04-16,620.1,620.7,614.1,616.3
2014-04-17,616.0,619.3,610.8,617.4
2014-04-22,618.2,620.4,614.8,614.9
2014-04-23,614.1,614.6,607.5,612.2
2014-04-24,613.5,618.6084,611.6,613.0
2014-04-25,607.3,608.1662,599.0,602.5
2014-04-28,604.1,606.288,600.84,600.9
2014-04-29,604.7,611.512,604.5,611.1
2014-04-30,605.3,607.363,589.877,604.1
2014-05-02,605.9,609.0017,601.8,605.7
2014-05-07,592.1,607.678,590.0,596.5
2014-05-08,596.4,597.8,587.4,593.8
2014-05-09,593.6,596.8758,590.404,596.0
2014-05-12,603.0,608.1,601.9,606.3
