date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,455.3,467.99,449.5,455.3
2014-01-07,458.6,461.4265,446.55,459.6
2014-01-08,459.0,519.5,459.0,513.5
2014-01-09,515.0,521.5,496.7813,507.0
2014-01-10,510.0,521.0,502.0,515.5
2014-01-13,518.0,559.5,517.5,541.0
2014-01-14,539.0,539.0,511.0,524.5
2014-01-15,530.0,533.0,516.5,521.0
2014-01-16,520.0,528.5,497.1,523.5
2014-01-17,500.5,516.0,493.4,505.0
2014-01-20,509.0,521.0,504.42,516.5
2014-01-21,519.0,538.5,514.0,527.0
2014-01-22,529.5,536.5,525.5,526.0
2014-01-23,538.0,539.5,514.5,520.5
2014-01-24,517.0,521.0,499.5,504.0
2014-01-27,506.0,506.0,478.8,481.7
2014-01-28,483.0,510.925,483.0,508.0
2014-01-29,517.0,518.0,506.0,510.5
2014-02-03,528.0,532.5,517.0,523.5
2014-02-04,530.5,530.5,490.1,510.0
2014-02-05,505.0,528.0,504.9,526.5
2014-02-06,527.0,550.6162,522.8398,547.5
2014-02-07,547.5,555.0,541.5,548.5
2014-02-10,550.0,560.0,547.515,560.0
2014-02-11,561.0,565.5,559.0,563.0
2014-02-12,564.0,582.0,564.0,581.0
2014-02-13,578.5,586.0,575.8951,581.5
2014-02-14,581.0,584.0,577.0,580.0
2014-02-17,578.0,585.7324,578.0,581.0
2014-02-18,578.5,588.5,575.0,585.0
2014-02-19,581.5,585.5,560.5,573.5
2014-02-20,570.0,583.5,562.5,583.5
2014-02-21,583.0,603.0,583.0,600.5
2014-02-24,600.0,607.64,595.5,602.0
2014-02-25,604.0,610.5,596.0,606.0
2014-02-26,602.5,624.9306,602.5,617.0
2014-02-27,614.0,616.5,569.5,571.5
2014-02-28,565.5,578.2394,552.0,562.5
2014-03-03,553.5,554.5,538.0,549.5
2014-03-04,560.0,580.0,550.74,576.5
2014-03-05,587.0,591.5,570.0,571.5
2014-03-06,570.0,576.725,555.0,555.5
2014-03-07,554.0,563.5,550.5,559.5
2014-03-10,558.0,564.0,544.5,548.5
2014-03-11,549.5,573.5,544.5375,572.0
2014-03-12,563.0,572.34,525.12,539.0
2014-03-13,530.0,530.5,500.5,502.5
2014-03-14,492.5,504.5,427.7,483.6
2014-03-17,482.3,488.516,475.0414,480.0
2014-03-18,476.0,485.1,467.7,477.3
2014-03-19,480.0,507.5,475.072,488.1
2014-03-20,486.3,489.5,474.5,476.2
