date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,1136.59706,1145.310123,1128.333211,1134.0543369999998
2014-01-07,1131.511615,1147.615525,1128.968892,1143.377654
2014-01-08,1144.225228,1154.396119,1142.53008,1151.8533960000002
2014-01-09,1150.158248,1161.176713,1145.920377,1155.243693
2014-01-10,1166.262159,1177.280624,1161.583549,1166.262159
2014-01-13,1172.195178,1176.907691,1155.243693,1161.176713
2014-01-14,1149.310674,1152.700971,1135.444359,1144.225228
2014-01-15,1152.700971,1170.5000300000002,1151.8533960000002,1167.109733
2014-01-16,1167.109733,1169.652456,1135.749486,1139.987357
2014-01-17,1145.072803,1161.176713,1145.072803,1156.091268
2014-01-20,1161.176713,1168.804881,1134.9019119999998,1139.987357
2014-01-21,1138.292209,1143.78449,1127.273743,1129.816466
2014-01-22,1123.883446,1134.0543369999998,1106.323827,1119.645575
2014-01-23,1121.340724,1129.816466,1109.8984710000002,1110.322259
2014-01-24,1114.56013,1118.090022,1066.248398,1069.638695
2014-01-27,1063.705675,1064.553249,1047.906891,1050.144487
2014-01-28,1056.925081,1080.65716,1051.839636,1079.809586
2014-01-29,1092.523199,1102.151643,1048.449339,1054.382359
2014-02-03,1036.583299,1047.601765,1018.072278,1020.479389
2014-02-04,1012.003646,1064.129462,1010.308498,1052.68721
2014-02-05,1051.839636,1065.400824,1041.668745,1044.211468
2014-02-06,1051.839636,1078.962012,1050.144487,1073.028992
2014-02-07,1083.199883,1095.065922,1076.4192890000002,1081.504734
2014-02-10,1088.285328,1096.761071,1076.4192890000002,1083.199883
2014-02-11,1086.59018,1118.880724,1086.59018,1109.474684
2014-02-12,1115.407704,1127.697531,1111.169833,1119.645575
2014-02-13,1118.798001,1120.493149,1103.541665,1113.712556
2014-02-14,1112.864981,1117.950427,1102.69409,1112.864981
2014-02-17,1115.407704,1132.359189,1114.56013,1127.273743
2014-02-18,1135.749486,1136.59706,1119.645575,1135.749486
2014-02-19,1134.9019119999998,1143.614975,1123.0358720000002,1135.749486
2014-02-20,1116.255278,1148.4631,1116.255278,1148.4631
