date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,897.5,907.0,896.0,903.5
2014-01-07,900.5,906.5,899.16,901.0
2014-01-08,897.5,906.84,893.5,903.0
2014-01-09,901.0,912.5,899.0,903.5
2014-01-10,904.5,914.083,903.5,907.5
2014-01-13,907.0,910.5,901.608,907.0
2014-01-14,906.0,920.5,904.35,918.5
2014-01-15,922.0,929.0,921.5,927.5
2014-01-16,927.0,931.4,925.0,926.5
2014-01-17,927.0,932.0,920.5,925.5
2014-01-20,925.0,929.5,919.5,924.5
2014-01-21,924.0,934.0,921.5,931.0
2014-01-22,933.0,938.0,925.0,926.5
2014-01-23,925.0,930.5,912.5,916.0
2014-01-24,917.0,923.5,900.5,904.0
2014-01-27,898.5,903.5,889.0,893.5
2014-01-28,891.5,895.3539999999999,889.5,892.5
2014-01-29,896.5,902.5,885.5,896.0
2014-02-03,882.5,896.5,882.5,889.0
2014-02-04,889.0,892.0,878.0,883.5
2014-02-05,883.5,890.5,876.0,878.0
2014-02-06,884.5,887.0,877.5,886.5
2014-02-07,888.0,895.14,883.5,887.0
2014-02-10,889.0,890.5,883.942,886.0
2014-02-11,889.5,906.5,889.5,906.5
2014-02-12,906.0,909.5,904.5,908.0
2014-02-13,907.5,917.0,907.5,916.0
2014-02-14,915.0,918.5,907.5,909.0
2014-02-17,908.0,916.0,908.0,915.5
2014-02-18,918.5,924.5,916.5,924.0
2014-02-19,922.5,926.6727,919.5,921.0
2014-02-20,917.0,919.0,909.5,913.0
2014-02-21,917.5,921.5,910.5,911.5
2014-02-24,911.0,922.0,910.5,922.0
2014-02-25,925.0,928.0,918.0,923.5
2014-02-26,923.5,925.5,902.5,909.0
2014-02-27,905.0,929.0,901.5,923.5
2014-02-28,910.0,923.0,905.5,915.5
2014-03-03,900.5,908.5,893.5,897.5
2014-03-04,901.5,921.5,901.5,921.5
2014-03-05,920.5,925.5,916.146,920.0
2014-03-06,920.0,929.5,919.0,925.0
2014-03-07,926.0,937.0,926.0,928.5
2014-03-10,927.5,933.5,919.5,921.0
2014-03-11,921.0,933.0,917.5,929.5
2014-03-12,925.5,937.5,921.5,935.0
2014-03-13,934.5,936.0,921.5,921.5
2014-03-14,915.5,917.0,910.0,913.0
2014-03-17,904.5,919.5,900.5,917.5
2014-03-18,915.0,926.0,911.5,924.0
2014-03-19,923.5,924.5,914.0,918.0
2014-03-20,914.5,918.0,908.5,916.0
2014-03-21,916.5,919.5,911.5,915.0
2014-03-24,912.5,918.0,905.5,911.0
2014-03-25,909.5,926.0,909.5,920.5
2014-03-26,919.5,932.0,917.0,930.0
2014-03-27,924.0,929.0,918.45,918.5
2014-03-28,920.0,924.0,913.5,914.0
2014-03-31,917.0,923.5,915.0,916.0
2014-04-01,917.5,921.5,917.0,921.5
2014-04-02,922.0,929.0,922.0,926.0
2014-04-03,927.0,927.5,918.5,919.0
2014-04-04,922.0,926.5,920.0,924.5
2014-04-07,918.5,922.5,912.5,914.5
2014-04-08,913.0,914.5,889.0,892.5
2014-04-09,887.0,894.0,883.5980000000001,893.0
2014-04-10,899.5627400000001,899.5627400000001,882.5,891.5
2014-04-11,885.0,889.0,870.1336,881.0
2014-04-14,878.0,878.0,866.0,873.0
2014-04-15,871.5,878.0,864.975,866.0
2014-04-16,869.0,872.0,866.5,869.5
2014-04-17,871.0,885.0,869.5,884.5
2014-04-22,886.5,890.5,884.0,885.0
2014-04-23,880.5,895.0,872.5,874.0
2014-04-24,877.0,880.59,869.5,880.5
2014-04-25,874.5,887.0,874.5,886.0
2014-04-28,885.0,890.5,878.0,879.0
2014-04-29,881.5,888.5,879.0,883.0
2014-04-30,866.5,890.95,851.525,872.0
2014-05-02,884.0,888.0,868.0,876.5
2014-05-07,867.0,879.0,867.0,872.5
2014-05-08,873.0,879.0,869.5,871.5
2014-05-09,871.5,882.5,866.5,878.5
2014-05-12,880.0,887.5,877.0,880.5
2014-05-13,885.0,888.0,881.5,888.0
2014-05-14,885.5,890.5,884.5,889.0
2014-05-15,889.0,892.0,875.0,878.0
2014-05-16,878.0,891.5,877.5,889.5
2014-05-19,890.0,908.5,889.0,907.5
2014-05-20,909.0,917.0,907.28,914.0
2014-05-21,914.0,919.5,912.5,914.5
2014-05-22,915.5,927.0,913.5,924.5
2014-05-23,925.0,936.82,923.0,932.5
2014-05-27,934.5,942.0,932.775,934.5
2014-05-28,935.5,946.0,934.5,943.5
2014-05-29,942.5,953.5,941.72,950.5
2014-05-30,949.5,959.5,949.5,951.0
2014-06-02,954.5,957.25,951.0,952.5
2014-06-03,951.0,954.0,939.5,940.5
2014-06-05,942.0,942.0,934.5,936.5
2014-06-09,943.5,949.0,940.5,949.0
2014-06-10,946.0,954.5,943.5,951.5
2014-06-11,950.5,953.0,945.75,948.5
2014-06-12,948.5,961.5,945.0,959.0
2014-06-13,956.0,956.5,948.0,955.0
2014-06-16,952.0,955.5,949.5,951.0
2014-06-17,951.0,960.5,951.0,953.5
2014-06-18,952.5,959.0,950.0,951.0
2014-06-19,956.0,957.14,951.0,951.5
2014-06-20,952.0,958.0,950.0,956.5
2014-06-23,955.5,958.0,949.0,952.5
2014-06-24,955.0,958.0,944.0,945.0
2014-06-25,941.5,945.0,932.5,935.5
2014-06-26,938.0,942.5,935.0,942.5
2014-06-27,935.0,936.5,925.5,935.5
2014-06-30,934.5,943.0,933.6652,940.0
2014-07-01,940.5,944.0,937.0,942.0
2014-07-02,941.0,947.5,936.82,937.5
2014-07-03,939.5,950.5,938.0,950.0
2014-07-04,951.5,951.95,945.0,949.5
2014-07-07,948.5,950.055,944.5,946.0
2014-07-08,946.0,947.0,932.5,932.5
2014-07-09,932.0,935.0,922.0,923.5
2014-07-10,921.5,926.0,906.5,917.0
2014-07-11,919.0,919.0,914.1959,918.5
2014-07-14,917.5,930.5,915.0,929.5
2014-07-15,927.0,932.5,922.0,924.5
2014-07-16,927.0,935.5,925.5,934.0
2014-07-17,935.5,942.0,932.5,932.5
2014-07-18,928.5,934.0,921.0,933.5
2014-07-21,933.0,935.0,926.0,927.5
2014-07-22,929.0,935.475,928.0,933.0
2014-07-23,930.0,943.0,930.0,939.0
2014-07-24,938.0,984.5,938.0,980.0
2014-07-25,975.0,988.5,965.5,968.5
2014-07-28,971.0,977.0,962.0,966.5
2014-07-29,968.5,975.5,964.5,971.0
2014-07-30,971.5,973.5,962.0,967.0
2014-07-31,968.0,969.5,947.5,954.5
2014-08-01,954.5,957.5,938.0,947.0
2014-08-04,948.0,952.0,935.5,943.0
2014-08-05,944.5,953.0,940.5,951.0
2014-08-06,942.0,946.0,928.0,938.0
2014-08-07,937.5,945.5,931.5,938.0
2014-08-08,933.0,937.25,928.0,933.5
2014-08-11,939.0,957.0,937.0,955.5
2014-08-12,956.5,956.5,949.0,956.0
2014-08-13,960.0,963.5,952.0,961.5
2014-08-14,957.5,966.5,957.5,964.0
2014-08-18,968.5,977.0,968.5,970.5
2014-08-19,973.0,984.5,973.0,981.0
2014-08-20,980.5,983.0,977.5,981.0
2014-08-21,983.0,983.5,973.5,983.5
2014-08-22,985.0,989.0,977.5,982.0
2014-08-26,986.5,987.5,980.0,987.0
2014-08-27,985.5,992.0,983.5,991.5
2014-08-28,988.5,994.0,986.0,993.5
2014-08-29,992.0,993.0,978.0,982.5
2014-09-01,986.0,994.0,985.0,990.0
2014-09-02,992.0,998.5,988.0,992.5
2014-09-03,993.5,1004.0,993.5,999.0
2014-09-04,998.0,1000.0,990.0,993.5
2014-09-05,991.5,995.5,985.055,990.0
2014-09-11,994.5,995.5,984.0,987.0
2014-09-12,987.0,993.0,987.0,992.5
2014-09-15,988.0,996.0,988.0,995.5
2014-09-16,994.0,1002.0,992.0,1002.0
2014-09-17,1005.0,1006.0,996.0,998.0
2014-09-18,999.0,1006.0,997.0,1002.0
2014-09-19,1006.0,1014.0,1003.0,1011.0
2014-09-22,1008.0,1012.0,999.5,1001.0
2014-09-23,1001.0,1001.0,985.0,989.5
2014-09-24,989.0,989.5,979.5,989.5
2014-09-25,988.5,997.125,981.5,984.5
2014-09-26,983.5,987.0,974.75,980.0
2014-09-29,981.5,994.5,980.5,994.5
2014-09-30,995.5,998.0,984.5,988.0
2014-10-01,984.5,991.0,976.5,978.5
2014-10-02,979.5,989.0,970.0,970.0
2014-10-06,987.0,1001.0,983.5,997.0
2014-10-07,993.5,994.0,973.5,974.5
2014-10-08,973.5,974.0,962.5,970.0
2014-10-10,959.5,967.5,952.1977,963.5
2014-10-13,956.5,963.0,954.5,958.5
2014-10-14,953.0,964.5,953.0,961.0
2014-10-15,966.0,969.0,938.5,938.5
2014-10-16,945.0,952.5,921.5,946.5
2014-10-17,949.0,959.0,944.0,953.0
2014-10-20,953.0,957.5,942.5,951.0
2014-10-21,950.0,970.5,945.0,969.5
2014-10-22,970.0,981.0,966.5,980.0
2014-10-23,979.0,984.5,966.5,982.0
2014-10-24,979.5,982.5,972.0,978.0
2014-10-27,985.5,998.5,983.0,995.0
2014-10-28,999.5,1005.0,996.0,999.5
2014-10-29,1004.0,1007.0,1000.0,1002.0
2014-10-30,1012.0,1015.0,997.5,1015.0
2014-10-31,1025.0,1029.0,1018.0,1027.0
2014-11-03,1027.0,1033.78,1016.0,1028.0
2014-11-04,1027.0,1037.0,1023.0,1028.0
2014-11-05,1032.0,1040.0,1028.0,1032.0
2014-11-06,1027.0,1033.0,1019.942,1033.0
2014-11-07,1037.0,1040.0,1028.0,1031.0
2014-11-10,1032.0,1043.0,1031.0,1042.0
2014-11-11,1044.0,1052.0,1042.0,1044.0
2014-11-12,1044.0,1045.0,1030.598,1039.0
2014-11-13,1045.0,1045.92,1037.89,1041.0
2014-11-14,1046.0,1057.0,1004.657,1055.0
2014-11-17,1052.0,1059.0,1046.0,1057.0
2014-11-18,1061.0,1071.0,1059.0,1068.0
2014-11-19,1071.0,1071.0,1061.0,1064.0
2014-11-20,1063.0,1066.0,1055.0,1058.0
2014-11-21,1059.0,1064.0,1054.544,1058.0
2014-11-24,1060.0,1074.0,1054.0,1074.0
2014-11-25,1076.0,1100.0,1062.9282,1095.0
