date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,3179.27109,3184.009199,3090.1946420000004,3094.9327510000003
2014-01-07,3076.454126,3097.301805,3036.654011,3046.60404
2014-01-08,3037.127822,3053.237392,3019.5968190000003,3022.913495
2014-01-09,3026.230172,3032.389713,2941.418022,2951.841861
2014-01-10,2951.841861,3022.913495,2911.094125,2975.532406
2014-01-13,2995.432464,3028.006962,2975.532406,3010.594412
2014-01-14,2994.011031,3009.8552670000004,2970.320486,3002.065816
2014-01-15,3028.5992260000003,3084.982722,3013.437277,3083.56129
2014-01-16,3103.461347,3218.5973940000003,3093.985129,3159.844843
2014-01-17,3168.373439,3261.093303,3140.674455,3205.8045
2014-01-20,3168.84725,3220.018827,3155.106734,3161.2662760000003
2014-01-21,3147.051949,3153.685302,3053.474298,3062.239799
2014-01-22,3071.716017,3146.104327,3064.608854,3075.980315
2014-01-23,3046.60404,3107.251834,3025.756361,3048.499284
2014-01-24,3041.865931,3060.8183670000003,2972.21573,2978.375271
2014-01-27,2966.056188,3018.649197,2949.472807,2975.532406
2014-01-28,3003.487249,3065.082665,3003.487249,3044.708796
2014-01-29,3040.880149,3123.361405,3012.489656,3077.401748
2014-02-03,3084.508911,3124.3090260000004,3039.496877,3050.394527
2014-02-04,3030.020659,3080.244613,3013.260262,3070.294585
2014-02-05,3069.820774,3114.358998,3035.706389,3102.039914
2014-02-06,3121.939972,3169.794872,3092.089886,3163.63533
2014-02-07,3174.532981,3240.392695,3170.742494,3228.547423
2014-02-10,3244.183182,3255.734123,3198.697336,3204.856878
2014-02-11,3220.492638,3278.771377,3184.009199,3278.771377
2014-02-12,3302.461922,3343.68347,3280.19281,3326.1524670000003
2014-02-13,3375.90261,3395.328857,3216.70215,3314.307194
2014-02-14,3286.352352,3344.631091,3284.9309190000004,3331.838197
2014-02-17,3346.526335,3384.431206,3319.0453030000003,3372.585934
2014-02-18,3381.929485,3487.778838,3331.838197,3383.483585
2014-02-19,3387.747883,3438.919459,3362.635905,3437.498026
2014-02-20,3349.843011,3405.278886,3348.835689,3405.278886
2014-02-21,3414.281293,3451.238542,3372.112123,3412.386049
2014-02-24,3378.271665,3388.695504,3338.47155,3351.264444
2014-02-25,3286.352352,3304.309784,3216.70215,3258.87132
2014-02-26,3243.23556,3269.29516,3219.071205,3229.021234
2014-02-27,3221.91407,3284.9309190000004,3190.6425510000004,3277.823756
2014-02-28,3319.1267420000004,3332.388254,3220.966448,3252.7117780000003
2014-03-03,3173.585359,3193.011606,3142.787651,3175.006792
2014-03-04,3220.966448,3226.652179,3163.16152,3204.383067
2014-03-05,3141.840029,3156.054356,3092.563697,3097.775616
2014-03-06,3120.99235,3180.976809,3099.197049,3137.10192
2014-03-07,3117.675674,3136.116394,3008.225358,3032.389713
2014-03-10,2967.951432,3034.758768,2941.418022,2975.058595
2014-03-11,3010.594412,3035.232579,2966.529999,2989.746733
2014-03-12,2967.951432,3027.452319,2945.68232,3007.277736
2014-03-13,3051.342149,3071.716017,2994.4848420000003,2996.380085
2014-03-14,2958.863739,2992.589598,2939.809055,2976.006217
2014-03-17,2983.587191,3044.708796,2978.375271,3012.963467
2014-03-18,3016.753954,3050.394527,2985.956246,3022.913495
2014-03-19,3011.542034,3032.389713,2968.425243,2979.796704
2014-03-20,2968.425243,2998.74914,2942.365644,2991.6419760000003
2014-03-21,3008.225358,3054.658825,3003.013438,3039.023066
2014-03-24,3066.977908,3079.014505,3012.489656,3021.965874
2014-03-25,3078.34937,3127.1518920000003,3061.292178,3111.042321
2014-03-26,3135.206677,3172.163927,3125.256648,3130.942379
2014-03-27,3124.3090260000004,3127.1518920000003,3068.873152,3103.461347
2014-03-28,3127.1518920000003,3174.05917,3078.823181,3107.725645
2014-03-31,3136.154299,3186.3782530000003,3131.41619,3162.687709
2014-04-01,3187.325875,3221.91407,3162.687709,3198.223526
2014-04-02,3198.223526,3214.806907,3183.535388,3200.118769
2014-04-03,3179.27109,3202.961635,3124.782837,3142.31384
2014-04-04,3158.897222,3230.742968,3155.580545,3203.435445
2014-04-07,3205.8045,3219.071205,3147.051949,3168.373439
2014-04-08,3202.961635,3255.080833,3167.899628,3247.026048
2014-04-09,3250.342724,3270.242781,3203.909256,3215.280718
2014-04-10,3224.283125,3251.764156,3183.061577,3205.330689
2014-04-11,3174.05917,3193.4854170000003,3126.678081,3156.054356
2014-04-14,3146.104327,3230.916477,3138.049542,3229.495045
