date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,332.0,333.8,330.15,332.2
2014-01-07,333.3,334.95,330.35,331.75
2014-01-08,335.0,337.95,324.5,328.3
2014-01-09,323.0,329.47209100000003,315.3,324.35
2014-01-10,324.15,324.94,319.35,321.8
2014-01-13,322.05,327.85,321.95,326.55
2014-01-14,324.95,331.6,323.137,331.2
2014-01-15,333.0,333.3,328.5,332.25
2014-01-16,333.3,334.4,329.5,333.3
2014-01-17,334.85,338.1,331.1,331.1
2014-01-20,331.75,333.3,328.35,329.6
2014-01-21,330.0,332.5,328.3,329.6
2014-01-22,331.05,333.55,329.25,330.0
2014-01-23,330.65,333.5,326.15,326.4
2014-01-24,327.0,327.95,322.94,326.65
2014-01-27,327.2,331.6075,322.925,324.6
2014-01-28,325.1,328.0,320.25,320.25
2014-01-29,322.15,324.2,319.35,321.15
2014-02-03,319.75,322.3,318.9,318.95
2014-02-04,318.45,319.635,313.65,314.0
2014-02-05,314.1,316.3,313.15,315.05
2014-02-06,317.05,325.05,315.45,323.4
2014-02-07,323.95,324.0,319.65,320.9
2014-02-10,322.55,324.45,320.815,323.7
2014-02-11,324.75,326.3335,316.4,318.7
2014-02-12,321.3,327.31,320.75,323.35
2014-02-13,324.1,324.85,322.0,324.85
2014-02-14,326.0,326.0,322.7,324.65
2014-02-17,325.0,327.95,324.375,327.4
2014-02-18,328.55,330.3,326.0,329.7
2014-02-19,330.0,341.576,329.95,335.75
2014-02-20,334.1,337.2,331.69800000000004,334.5
2014-02-21,334.0,335.5789,332.35,335.15
2014-02-24,334.85,338.2,332.7,333.4
2014-02-25,333.0,337.0,328.3,335.2
2014-02-26,333.35,333.4,317.55,326.0
2014-02-27,328.0,331.25,327.4,331.25
2014-02-28,333.85,333.95,328.0,329.2
2014-03-03,325.05,326.9,320.922,322.65
2014-03-04,327.6,329.2,322.25,327.9
2014-03-05,329.55,331.25,326.05,327.5
2014-03-06,328.05,328.45,323.87579900000003,324.2
2014-03-07,325.05,330.0,321.15,322.75
2014-03-10,321.3,322.75,319.25,320.25
2014-03-11,322.0,322.2,314.25,314.65
2014-03-12,316.3,316.55,312.3,314.4
2014-03-13,305.0,307.8485,298.75,298.75
2014-03-14,298.1,305.35,295.5,303.7
2014-03-17,302.15,302.4,297.55,299.7
2014-03-18,298.6,304.4,298.3,300.25
2014-03-19,299.45,302.2,294.25,294.6
2014-03-20,292.3,295.5,288.116833,292.5
2014-03-21,292.5,294.35,289.25,290.9
2014-03-24,291.7,295.25,291.358,293.35
2014-03-25,293.65,296.293,291.7,293.7
2014-03-26,295.4,298.35,293.9,294.35
2014-03-27,294.35,294.85,291.9,293.35
2014-03-28,295.4,298.85,295.144,297.8
2014-03-31,299.2,300.3,294.95,295.4
2014-04-01,296.05,296.538,291.857,293.4
2014-04-02,294.2,294.4,292.0,292.65
2014-04-03,293.15,294.7,290.6906,291.7
2014-04-04,290.0,292.125,286.45,287.4
2014-04-07,285.55,289.9,283.005,283.3
2014-04-08,283.0,287.95,278.5,287.85
2014-04-09,289.0,289.75,284.0,284.2
2014-04-10,285.85,286.15,283.05400000000003,284.05
2014-04-11,282.7,284.5,280.6286,281.05
2014-04-14,280.0,289.35,279.6,289.35
2014-04-15,289.35,291.9,285.9,286.3
2014-04-16,300.0,302.0,290.6,293.8
2014-04-17,295.0,295.45,286.2,289.7
2014-04-22,288.45,294.15,288.45,292.4
2014-04-23,291.8,298.2791,291.75,297.35
2014-04-24,299.25,300.4,297.5,300.4
2014-04-25,300.1,300.6,297.952,299.4
2014-04-28,299.05,305.15,298.95,302.35
2014-04-29,301.2,306.4,301.2,303.3
2014-04-30,292.6,302.33,291.1,292.95
2014-05-02,285.2,295.33,283.9,285.5
2014-05-07,288.2,289.45,283.8,286.05
2014-05-08,286.55,295.4,283.7,295.0
2014-05-09,295.5,298.05,293.025,296.85
2014-05-12,297.35,298.022,292.65,293.95
2014-05-13,294.85,296.5,294.0,295.75
2014-05-14,296.7,297.5,293.495,296.3
2014-05-15,296.6,303.3,295.5,302.55
2014-05-16,302.6,311.1,301.55,310.45
2014-05-19,311.4,320.75,302.6,312.0
2014-05-20,310.0,310.0,304.45,306.05
2014-05-21,306.3,310.0,300.85,303.8
2014-05-22,303.2,305.15,301.3,303.45
2014-05-23,303.0,306.0,301.75,304.15
2014-05-27,306.35,306.5,301.65,302.8
2014-05-28,304.0,304.0,299.25,301.3
2014-05-29,301.05,307.05,301.05,305.0
2014-05-30,305.6,305.95,301.35,303.55
2014-06-02,302.45,303.35,297.75,300.55
2014-06-03,300.75,301.0,295.55,297.5
2014-06-05,292.3,294.4,289.85,291.65
2014-06-09,291.0,294.85,289.65,294.1
2014-06-10,293.95,295.4,291.3,295.4
2014-06-11,295.45,298.45,294.35,295.0
2014-06-12,295.0,296.0,291.35,292.1
2014-06-13,291.6,295.1,290.95,292.0
2014-06-16,290.75,291.38,288.45,288.85
2014-06-17,289.85,292.119,285.946,290.05
2014-06-18,290.75,295.8,289.8945,292.1
2014-06-19,293.5,294.75,290.0,290.9
2014-06-20,291.55,291.8,288.4,290.35
2014-06-23,290.75,293.5,287.3,292.0
2014-06-24,289.0,293.14364700000004,287.55,289.35
2014-06-25,289.05,289.45,285.25,285.25
2014-06-26,286.35,287.8,284.7,285.2
2014-06-27,285.05,287.2,282.55,283.75
2014-06-30,284.0,286.0,282.9,284.2
2014-07-01,284.45,284.7392,278.7,284.15
2014-07-02,285.15,285.85,282.55,284.95
2014-07-03,285.55,291.85,285.55,290.8
2014-07-04,290.1,292.1,290.1,290.85
2014-07-07,290.1,291.0,288.65,289.2
2014-07-08,290.0,290.5,282.848,283.05
2014-07-09,283.6,284.5,278.4,279.5
2014-07-10,279.1,283.15,277.2,280.7
2014-07-11,281.75,283.9,276.55,278.1
2014-07-14,281.25,285.85,280.15,284.45
2014-07-15,283.65,286.3,281.65,281.95
2014-07-16,282.45,288.2,282.232,287.15
2014-07-17,287.0,288.0,284.55,284.75
2014-07-18,284.0,285.55,281.8,285.0
2014-07-21,284.811977,295.2,284.811977,288.65
2014-07-22,285.0,285.6262,276.665,277.35
2014-07-23,277.55,278.898,273.65,276.0
2014-07-24,275.5,275.8,272.85,274.8
2014-07-25,273.9,275.2452,269.45,270.35
2014-07-28,270.4,271.7441,266.953,268.5
2014-07-29,268.95,271.0,267.3,269.15
2014-07-30,269.0,269.555,265.15,265.9
2014-07-31,265.9,266.5,257.7,258.0
2014-08-01,258.0,258.467,251.85,253.6
2014-08-04,253.35,255.1925,249.965,250.7
2014-08-05,252.2,254.2,249.75,251.1
2014-08-06,250.0,250.1,244.6,245.55
2014-08-07,245.0,247.582,243.185453,243.8
