date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,2441.0,2451.0,2429.0,2441.0
2014-01-07,2448.0,2458.225,2438.72,2443.0
2014-01-08,2449.0,2450.0,2402.0,2409.0
2014-01-09,2400.0,2402.9,2362.0,2370.0
2014-01-10,2389.0,2397.5934,2374.04,2388.0
2014-01-13,2400.0,2408.2,2372.225,2402.0
2014-01-14,2387.0,2426.0,2381.0,2413.0
2014-01-15,2400.0,2406.0,2377.3362,2406.0
2014-01-16,2404.0,2434.0,2401.9,2432.0
2014-01-17,2439.0,2454.0,2408.0,2424.0
2014-01-20,2418.0,2444.54243,2413.0,2437.0
2014-01-21,2520.0,2558.0,2474.0,2480.0
2014-01-22,2500.0,2520.0,2494.0,2505.0
2014-01-23,2507.0,2516.0,2485.0,2492.0
2014-01-24,2499.0,2508.0,2461.0,2465.0
2014-01-27,2469.0,2490.0,2428.0,2434.0
2014-01-28,2437.0,2444.0,2405.0,2412.0
2014-01-29,2435.0,2443.0,2373.0,2391.0
2014-02-03,2342.0,2360.0,2330.0,2339.0
2014-02-04,2337.0,2345.0,2314.0,2328.0
2014-02-05,2310.0,2333.5999,2291.65,2306.0
2014-02-06,2317.0,2354.0,2307.3,2349.0
2014-02-07,2360.0,2367.0,2328.0,2363.0
2014-02-10,2375.0,2383.0,2366.0,2375.0
2014-02-11,2380.0,2396.0,2372.0,2396.0
2014-02-12,2398.0,2403.0,2360.0,2363.0
2014-02-13,2353.0,2384.34864,2343.0,2360.0
2014-02-14,2363.0,2366.0,2341.0,2349.0
2014-02-17,2353.0,2391.0,2337.0,2387.0
2014-02-18,2394.0,2419.0,2379.0,2415.0
2014-02-19,2413.0,2435.0,2346.7666,2423.0
2014-02-20,2406.0,2438.0,2398.0,2438.0
2014-02-21,2448.0,2452.0,2426.7,2439.0
2014-02-24,2439.0,2481.22,2436.0,2474.0
2014-02-25,2463.0,2474.0,2441.0,2471.0
2014-02-26,2473.0,2476.0,2429.4794,2447.0
2014-02-27,2447.0,2455.0,2414.0,2443.0
2014-02-28,2445.0,2468.57,2433.0,2441.0
2014-03-03,2415.0,2424.0,2388.4514,2395.0
2014-03-04,2420.0,2464.0,2419.2632,2463.0
2014-03-05,2457.0,2459.25,2433.0,2445.0
2014-03-06,2450.0,2454.0,2428.0,2432.0
2014-03-07,2434.0,2450.0,2421.0,2421.0
2014-03-10,2423.0,2443.0,2408.0,2414.0
2014-03-11,2407.0,2412.9,2379.0,2385.0
2014-03-12,2383.0,2384.0,2357.0,2374.0
2014-03-13,2381.0,2388.0,2355.0,2355.0
2014-03-14,2352.0,2379.0,2352.0,2371.0
2014-03-17,2363.0,2376.0,2351.0,2370.0
2014-03-18,2363.0,2396.0,2348.7,2390.0
2014-03-19,2385.0,2395.3,2376.0,2389.0
2014-03-20,2372.0,2382.0,2353.0,2377.0
2014-03-21,2379.0,2420.0,2379.0,2420.0
2014-03-24,2414.0,2428.0,2374.50862,2426.0
2014-03-25,2435.0,2469.0,2428.0,2469.0
2014-03-26,2475.0,2500.0,2471.0,2482.0
2014-03-27,2470.0,2506.0,2457.0,2505.0
2014-03-28,2478.78692,2559.0,2478.29285,2557.0
2014-03-31,2565.0,2577.3,2555.65,2561.0
2014-04-01,2562.0,2562.0,2532.0,2553.0
2014-04-02,2551.0,2562.0,2527.0,2547.0
2014-04-03,2546.0,2550.0,2532.0,2539.0
2014-04-04,2545.0,2545.0,2528.0,2538.0
2014-04-07,2522.0,2541.0,2520.0,2537.0
2014-04-08,2538.0,2607.0,2538.0,2606.0
2014-04-09,2609.0,2629.0,2602.0,2612.0
2014-04-10,2612.0,2630.0,2599.0,2622.0
2014-04-11,2602.0,2636.0,2602.0,2635.0
2014-04-14,2626.0,2674.0,2621.0,2663.0
2014-04-15,2656.0,2665.0,2625.0,2632.0
2014-04-16,2638.0,2649.0,2606.0,2622.0
2014-04-17,2622.0,2623.0,2579.7,2617.0
2014-04-22,2619.0,2630.35,2607.0,2609.0
2014-04-23,2616.0,2635.0,2574.3992,2634.0
2014-04-24,2630.0,2630.0,2564.0,2590.0
2014-04-25,2577.0,2601.3,2568.0,2597.0
2014-04-28,2600.0,2619.0,2597.0,2615.0
2014-04-29,2626.0,2638.0,2611.7304,2628.0
2014-04-30,2633.0,2659.0,2619.0,2644.0
2014-05-02,2624.0,2627.0,2594.0,2606.0
2014-05-07,2573.0,2598.0,2568.0,2597.0
2014-05-08,2603.0,2616.0,2598.0,2612.0
2014-05-09,2609.0,2640.0,2603.0,2639.0
2014-05-12,2626.0559,2646.13,2623.0,2646.0
2014-05-13,2650.0,2664.0,2631.0,2653.0
2014-05-14,2651.0,2663.0,2631.0,2657.0
2014-05-15,2656.0,2692.35,2649.0,2687.0
2014-05-16,2677.0,2731.36,2668.0,2704.0
2014-05-19,2710.0,2742.35,2699.0,2726.0
2014-05-20,2729.0,2734.0,2681.0,2694.0
2014-05-21,2684.0,2699.0,2678.0,2695.0
2014-05-22,2695.0,2704.0929,2660.35,2668.0
2014-05-23,2664.0,2685.84,2649.0,2664.0
2014-05-27,2672.0,2685.3,2651.7,2661.0
2014-05-28,2657.0,2673.0,2643.0,2672.0
2014-05-29,2669.0,2701.94,2669.0,2683.0
2014-05-30,2682.0,2701.72,2671.65,2680.0
2014-06-02,2690.0,2701.87,2672.0,2679.0
2014-06-03,2677.0,2706.55,2671.7,2692.0
2014-06-05,2679.0,2724.94,2666.0,2676.0
2014-06-09,2642.0,2656.0,2622.95,2656.0
2014-06-10,2657.0,2685.0,2648.0,2685.0
2014-06-11,2685.0,2699.3,2672.0,2678.0
2014-06-12,2705.0,2729.0,2687.0,2692.0
2014-06-13,2678.0,2687.3,2658.0,2664.0
2014-06-16,2654.0,2671.3,2646.7,2657.0
2014-06-17,2663.0,2681.35,2653.0,2673.0
2014-06-18,2677.0,2685.3,2660.0,2668.0
2014-06-19,2686.0,2699.0,2678.35,2681.0
2014-06-20,2679.0,2694.0,2666.0,2687.0
2014-06-23,2696.0,2697.0,2673.7,2684.0
2014-06-24,2694.0,2704.0,2685.7,2699.0
2014-06-25,2692.0,2702.0,2658.0,2659.0
2014-06-26,2660.0,2666.0,2627.0,2641.0
2014-06-27,2647.0,2655.0,2635.0,2638.0
2014-06-30,2647.0,2661.8886,2628.0,2651.0
2014-07-01,2654.0,2662.0,2640.0,2658.0
2014-07-02,2657.0,2675.3,2652.0,2659.0
2014-07-03,2659.0,2681.0,2655.0,2678.0
2014-07-04,2672.0,2681.0,2663.0,2672.0
2014-07-07,2670.0,2674.0,2648.7,2658.0
2014-07-08,2663.0,2669.0,2649.0,2655.0
2014-07-09,2652.0,2653.0,2632.0,2637.0
2014-07-10,2640.0,2644.0,2596.0,2598.0
2014-07-11,2602.0,2622.0,2598.0,2622.0
