date,opening_price,highest_price,lowest_price,closing_price
2014-01-06,240.6479126,242.9027057,239.16179900000003,241.6215733
2014-01-07,241.4678374,244.4845455,241.4678374,243.825121
2014-01-08,243.0051963,246.3156424,241.6728186,241.8777997
2014-01-09,242.441498,246.6702599,241.0066297,241.570328
2014-01-10,242.0315356,245.2907365,240.4941767,240.4941767
2014-01-13,240.2891955,241.5190827,238.4443649,239.5717614
2014-01-14,237.9319119,241.957025,237.3169683,241.7753091
2014-01-15,242.8002151,244.5107831,240.4941767,244.3888193
2014-01-16,244.3888193,245.9056801,241.8777997,243.1076869
2014-01-17,243.9276116,247.1297221,241.5190827,245.9774235
2014-01-20,246.7973482,247.0535747,244.2863287,245.92617819999995
2014-01-21,245.92617819999995,246.0799141,243.31266800000003,243.6201398
2014-01-22,243.7226304,245.0816557,242.9027057,243.3639133
2014-01-23,240.8528938,242.1852715,238.9055725,239.7767426
2014-01-24,240.9041391,242.2877621,237.3026197,238.34187430000003
2014-01-27,224.9668519,231.0183065,221.1234546,229.1177209
2014-01-28,229.9376456,233.5555636,227.6828526,228.86149440000003
2014-01-29,232.6536464,235.9333453,225.8892672,231.9362122
2014-02-03,230.6550798,233.1097295,227.0166637,227.63160730000004
2014-02-04,226.4529655,226.4529655,223.9931912,223.9931912
2014-02-05,223.8907007,225.4793048,221.020964,221.2771905
2014-02-06,224.4543989,230.860061,223.1732665,229.476438
2014-02-07,228.3198562,229.9888909,227.1703996,227.5291167
2014-02-10,228.5540226,228.86149440000003,225.5817954,227.5291167
2014-02-11,228.092815,230.6550798,226.33791980000004,227.0166637
2014-02-12,228.0415697,228.3210615,225.4280595,226.5042108
2014-02-13,225.4793048,227.0330622,223.6038295,226.9654184
2014-02-14,226.2992296,226.7604373,222.7633041,223.8394554
2014-02-17,223.8394554,229.6373482,223.8394554,228.0415697
2014-02-18,229.1689662,229.7326645,224.2494177,229.5789286
2014-02-19,228.092815,229.5789286,227.7648451,228.9127397
2014-02-20,228.5540226,236.1383265,228.47408,235.3184018
2014-02-21,241.7753091,243.64063790000003,233.4848451,242.3902527
2014-02-24,242.4,252.75327,234.765,252.3
2014-02-25,249.44,249.44,246.0,246.95
2014-02-26,247.3,247.75,244.65,245.25
2014-02-27,245.0,250.091269,241.875,246.85
2014-02-28,248.0,250.8,244.0,249.0
2014-03-03,246.8,247.9,243.3,243.55
2014-03-04,246.0,249.15,245.5,249.0
2014-03-05,248.7,249.16,246.05,246.25
2014-03-06,247.1,248.0342,244.95,247.3
2014-03-07,247.05,247.9,238.65,238.65
2014-03-10,238.0,239.15,229.65,230.1
2014-03-11,230.0,230.414,225.3,226.25
2014-03-12,225.073095,230.792,224.178054,229.55
2014-03-13,229.55,230.239625,224.4,224.4
2014-03-14,223.8,225.2,220.85,222.15
2014-03-17,223.3,226.575911,222.6,226.0
2014-03-18,225.65,226.8116,222.75,226.6
2014-03-19,227.0,229.1,226.35,227.7
2014-03-20,226.95,228.15,224.75,226.8
2014-03-21,227.85,229.0,226.858,227.2
2014-03-24,227.6,228.414076,221.5,222.15
2014-03-25,222.25,224.0,221.79,222.8
2014-03-26,224.0,224.0,222.1152,223.15
2014-03-27,220.6,220.6,217.9,218.0
2014-03-28,218.0,220.3,217.95,219.1
2014-03-31,220.45,221.9722,219.55,220.3
2014-04-01,221.05,222.1566,219.95,220.3
2014-04-02,221.35,222.8,220.3,221.15
2014-04-03,221.5,221.5,217.32,219.15
2014-04-04,217.400432,221.25,215.85,219.8
2014-04-07,219.5,222.34,217.35,217.6
2014-04-08,217.3,220.35,213.6,215.0
2014-04-09,215.3,220.3,214.8,220.0
2014-04-10,223.05,223.05,217.25,217.85
2014-04-11,216.0,217.25,213.25,213.8
2014-04-14,213.0,214.1,210.85,212.95
2014-04-15,212.45,213.7,210.25,210.6
2014-04-16,212.4,213.238,210.6,212.0
2014-04-17,212.1,215.15,211.2,214.15
2014-04-22,215.55,217.2681,214.95,217.05
2014-04-23,217.5,217.5,214.65,214.85
2014-04-24,215.9,216.55,214.611,216.4
2014-04-25,216.35,218.9759,215.732,217.35
2014-04-28,218.7,220.4,216.871856,218.85
2014-04-29,219.25,223.457745,219.25,223.05
2014-04-30,222.1,225.35,221.65,223.95
2014-05-02,221.55,224.85,220.786,222.9
