date,opening_price,highest_price,lowest_price,closing_price
2003-01-02,31.73,32.89,31.59,32.89
2003-01-03,32.89,33.15,32.59,32.97
2003-01-06,33.18,34.49,33.1,34.41
2003-01-07,34.25,34.4,33.83,34.21
2003-01-08,34.22,34.22,33.62,33.79
2003-01-09,33.92,35.04,33.92,35.01
2003-01-10,34.76,35.22,34.65,35.09
2003-01-13,35.35,35.7,34.63,34.77
2003-01-14,34.92,35.05,34.65,34.97
2003-01-15,34.98,35.23,34.7,35.12
2003-01-16,35.25,35.63,34.48,34.62
2003-01-17,34.62,34.85,34.35,34.62
2003-01-21,34.76,34.97,33.69,33.69
2003-01-22,33.7,34.2,33.5,33.63
2003-01-23,34.25,34.57,33.9,34.24
2003-01-24,34.15,34.16,32.72,32.81
2003-01-27,32.8,33.08,32.45,32.49
2003-01-28,32.75,32.92,32.28,32.73
2003-01-29,32.5,32.56,31.95,32.43
2003-01-30,32.26,32.52,31.64,31.64
2003-01-31,31.3,32.63,31.28,32.25
2003-02-03,32.09,32.1,30.85,30.96
2003-02-04,30.25,31.35,29.78,30.25
2003-02-05,30.45,30.85,29.97,30.03
2003-02-06,30.04,30.12,28.9,29.05
2003-02-07,29.3,29.6,28.91,28.97
2003-02-10,28.9,29.49,28.9,29.48
2003-02-11,29.75,29.8,28.53,28.86
2003-02-12,28.85,29.18,28.7,28.72
2003-02-13,28.73,28.73,27.3,27.69
2003-02-14,27.9,28.32,27.4,28.17
2003-02-18,28.4,28.83,28.38,28.69
2003-02-19,28.65,28.65,27.9,28.16
2003-02-20,28.12,28.34,27.68,27.84
2003-02-21,28.0,28.39,27.56,28.07
2003-02-24,28.0,28.0,27.71,27.8
2003-02-25,27.55,27.73,26.9,27.5
2003-02-26,27.42,28.49,27.03,27.2
2003-02-27,27.45,28.19,27.4,28.07
2003-02-28,28.17,28.75,27.94,28.33
2003-03-03,28.75,28.92,28.01,28.02
2003-03-04,28.03,28.07,27.43,27.46
2003-03-05,27.52,27.87,27.43,27.65
2003-03-06,27.66,27.81,27.18,27.31
2003-03-07,26.9,27.65,26.85,27.51
2003-03-10,27.5,27.5,26.19,26.29
2003-03-11,26.3,26.3,25.08,25.17
2003-03-12,25.11,25.48,24.73,25.4
2003-03-13,26.0,26.93,26.0,26.88
2003-03-14,27.0,27.86,26.9,27.25
2003-03-17,27.05,28.66,26.74,28.57
2003-03-18,28.8,29.08,28.62,28.8
2003-03-19,28.8,29.55,28.78,29.5
2003-03-20,29.5,30.2,28.57,30.13
2003-03-21,30.75,30.81,29.94,30.67
2003-03-24,30.67,30.67,28.71,28.85
2003-03-25,29.05,29.23,28.72,29.08
2003-03-26,29.08,29.36,28.74,29.01
2003-03-27,29.01,29.46,28.58,29.18
2003-03-28,28.75,28.91,28.35,28.5
2003-03-31,28.51,28.76,27.77,28.0
2003-04-01,28.1,28.71,27.87,28.57
2003-04-02,28.57,29.95,28.37,29.78
2003-04-03,29.84,29.92,29.19,29.53
2003-04-04,29.9,30.0,29.62,29.88
2003-04-07,30.4,30.72,29.67,29.74
2003-04-08,29.74,29.74,29.03,29.3
2003-04-09,29.3,29.91,29.01,29.04
2003-04-10,29.1,29.44,29.01,29.44
2003-04-11,29.69,30.07,29.24,29.29
2003-04-14,30.0,30.19,29.64,30.15
2003-04-15,30.25,30.89,29.9,30.88
2003-04-16,31.0,31.1,29.94,30.1
2003-04-17,30.05,30.49,30.03,30.43
2003-04-21,30.5,30.95,30.49,30.95
2003-04-22,30.9,32.57,30.7,32.55
2003-04-23,32.55,33.4,32.2,33.38
2003-04-24,33.38,33.38,31.84,32.09
2003-04-25,32.1,32.2,31.59,31.73
2003-04-28,31.73,33.09,31.73,32.91
2003-04-29,32.91,32.92,31.95,32.15
2003-04-30,32.16,32.42,31.3,31.96
2003-05-01,31.96,32.35,31.28,32.1
2003-05-02,32.1,33.05,32.01,33.05
2003-05-05,33.25,33.49,32.75,33.07
2003-05-06,32.9,33.3,32.6,33.02
2003-05-07,32.9,32.91,32.37,32.63
2003-05-08,32.4,32.4,31.66,31.75
2003-05-09,32.0,32.38,31.75,32.21
2003-05-12,32.21,33.32,31.82,33.28
2003-05-13,33.05,33.2,32.73,32.96
2003-05-14,33.2,33.29,32.7,33.08
2003-05-15,33.08,33.11,32.5,32.95
2003-05-16,32.95,33.17,32.29,32.7
2003-05-19,32.55,32.7,31.77,31.78
2003-05-20,31.78,31.79,31.07,31.52
2003-05-21,31.2,31.39,30.7,31.25
2003-05-22,31.25,31.41,30.92,31.32
2003-05-23,31.4,31.7,30.9,31.65
2003-05-27,32.25,33.02,32.02,32.95
2003-05-28,33.0,33.78,33.0,33.37
2003-05-29,33.32,33.64,32.979,33.34
2003-05-30,33.5,34.93,33.5,34.8
2003-06-02,35.45,36.3,35.42,35.6
2003-06-03,35.67,35.7,34.63,35.1
2003-06-04,35.0,35.54,34.91,35.44
2003-06-05,35.33,35.727,35.25,35.48
2003-06-06,36.0,36.93,35.94,36.33
2003-06-09,36.18,36.28,35.67,36.01
2003-06-10,36.01,36.25,35.5,35.66
2003-06-11,35.8,36.29,35.65,36.29
2003-06-12,36.7,36.97,36.4,36.81
2003-06-13,36.82,37.13,36.3,36.6
2003-06-16,35.85,37.15,35.7,37.15
2003-06-17,37.3,37.5,36.83,36.98
2003-06-18,36.98,36.98,36.35,36.67
2003-06-19,36.67,36.68,35.19,35.22
2003-06-20,35.22,35.35,34.91,35.08
2003-06-23,35.1,35.19,34.38,34.81
2003-06-24,34.65,35.44,34.6,35.3
2003-06-25,35.3,35.7,34.64,34.64
2003-06-26,34.5,35.32,34.48,35.26
2003-06-27,35.26,36.08,35.112,35.49
2003-06-30,35.65,36.04,35.51,35.63
2003-07-01,35.63,35.76,34.79,35.72
2003-07-02,35.72,36.51,35.72,36.4
2003-07-03,36.3,36.799,36.09,36.31
2003-07-07,36.65,38.0,36.54,37.98
2003-07-08,37.64,38.4,37.5,38.3
2003-07-09,38.3,38.3,37.86,38.05
2003-07-10,37.7,37.72,36.74,36.96
2003-07-11,36.96,37.16,36.75,37.1
2003-07-14,37.53,38.05,37.41,37.71
2003-07-15,38.0,38.08,36.97,37.2
2003-07-16,37.45,37.7,37.06,37.37
2003-07-17,37.25,37.36,36.6,36.7
2003-07-18,36.7,37.25,36.26,37.21
2003-07-21,37.21,37.21,36.55,36.67
2003-07-22,36.8,37.4,36.61,37.0
2003-07-23,37.0,37.2,36.57,36.87
2003-07-24,36.87,37.9,36.87,37.1
2003-07-25,37.33,38.51,37.22,38.46
2003-07-28,38.64,38.64,37.94,38.22
2003-07-29,38.17,38.22,37.1,37.36
2003-07-30,37.37,37.5,36.82,37.32
2003-07-31,37.5,37.85,37.08,37.34
2003-08-01,37.35,37.35,35.85,36.28
2003-08-04,36.35,36.35,35.03,35.74
2003-08-05,35.6,35.95,34.95,34.98
2003-08-06,34.98,35.45,34.8,35.2
2003-08-07,35.0,35.2,34.63,35.0
2003-08-08,35.01,35.8,34.94,35.37
2003-08-11,35.37,35.99,35.27,35.58
2003-08-12,35.8,35.97,35.56,35.9
2003-08-13,36.0,36.0,35.44,35.55
2003-08-14,35.45,36.29,35.27,36.27
2003-08-15,36.26,36.27,35.9,36.15
2003-08-18,36.26,36.34,35.96,36.1
2003-08-19,36.25,36.25,35.65,36.04
2003-08-20,35.95,36.45,35.66,36.38
2003-08-21,36.45,36.68,35.93,36.15
2003-08-22,36.4,36.5,35.35,35.45
2003-08-25,35.45,35.45,34.9,35.35
2003-08-26,35.3,35.64,34.8,35.55
2003-08-27,35.45,35.47,35.069,35.19
2003-08-28,35.3,35.4,34.85,35.16
2003-08-29,35.11,35.42,35.0,35.42
2003-09-02,35.6,36.74,35.52,36.71
2003-09-03,36.8,37.41,36.74,37.16
2003-09-04,37.08,37.21,36.7,37.07
2003-09-05,37.0,37.0,36.73,36.86
2003-09-08,36.96,37.13,36.69,36.86
2003-09-09,36.76,36.79,36.39,36.55
2003-09-10,36.4,36.56,35.95,36.0
2003-09-11,36.2,36.35,35.83,35.96
2003-09-12,35.85,36.19,35.78,36.12
